* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:34:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 10.3264 ms (3.542 m, 11 ft 7.4 in)  relative to Loopback from SPEAKER L to MICROPHONE 2 with no timing offset
* Measurement: L sedacka_doma_loopback
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.194 -74.5637
20.144928 81.880 -93.5319
20.290907 82.602 -110.5400
20.437943 83.291 -126.3459
20.586044 83.901 -141.1743
20.735220 84.401 -155.1060
20.885475 84.767 -168.1517
21.036821 84.981 179.6855
21.189262 85.026 168.4501
21.342808 84.892 158.2625
21.497467 84.580 149.3717
21.653246 84.117 142.3442
21.810154 83.582 138.4308
21.968201 83.136 140.5620
22.127390 83.007 154.5811
22.287735 83.370 -179.4348
22.449242 84.198 -161.3611
22.611917 85.270 -156.2937
22.775772 86.356 -157.8142
22.940815 87.306 -162.3060
23.107054 88.046 -168.1721
23.274498 88.547 -174.6211
23.443153 88.798 178.8455
23.613033 88.800 172.6428
23.784142 88.564 167.2633
23.956491 88.129 163.4773
24.130091 87.586 162.7239
24.304947 87.114 167.9211
24.481071 86.977 -176.4412
24.658470 87.367 -152.6786
24.837156 88.231 -135.8740
25.017136 89.338 -129.6028
25.198421 90.468 -129.2255
25.381020 91.490 -131.6818
25.564941 92.352 -135.4857
25.750195 93.047 -139.8793
25.936790 93.592 -144.4465
26.124741 94.012 -148.9473
26.314051 94.339 -153.2561
26.504732 94.607 -157.3337
26.696796 94.845 -161.2158
26.890253 95.074 -164.9954
27.085112 95.305 -168.7986
27.281382 95.536 -172.7528
27.479073 95.755 -176.9539
27.678198 95.945 178.5531
27.878765 96.088 173.7814
28.080786 96.172 168.7964
28.284271 96.190 163.7051
28.489231 96.143 158.6404
28.695675 96.044 153.7463
28.903616 95.913 149.1589
29.113064 95.781 144.9849
29.324028 95.683 141.2776
29.536524 95.657 138.0205
29.750557 95.731 135.1230
29.966141 95.916 132.4429
30.183289 96.202 129.8247
30.402010 96.566 127.1473
30.622314 96.978 124.3479
30.844217 97.413 121.4258
31.067726 97.850 118.4265
31.292856 98.280 115.4169
31.519617 98.701 112.4624
31.748020 99.119 109.6091
31.978081 99.538 106.8716
32.209808 99.964 104.2323
32.443211 100.399 101.6478
32.678310 100.840 99.0659
32.915108 101.281 96.4463
33.153625 101.713 93.7781
33.393871 102.132 91.0890
33.635857 102.540 88.4395
33.879597 102.952 85.9021
34.125103 103.393 83.5249
34.372387 103.898 81.2859
34.621464 104.496 79.0583
34.872345 105.201 76.6074
35.125042 105.999 73.6411
35.379574 106.852 69.8925
35.635948 107.712 65.1934
35.894180 108.529 59.4998
36.154285 109.265 52.8711
36.416275 109.890 45.4376
36.680161 110.382 37.3649
36.945961 110.730 28.8345
37.213688 110.925 20.0319
37.483353 110.964 11.1409
37.754974 110.845 2.3447
38.028561 110.570 -6.1669
38.304131 110.144 -14.1976
38.581699 109.577 -21.5426
38.861279 108.883 -27.9934
39.142883 108.088 -33.3459
39.426529 107.228 -37.4209
39.712231 106.354 -40.0814
40.000000 105.533 -41.2421
40.289856 104.848 -40.8445
40.581814 104.401 -38.8240
40.875885 104.310 -35.1748
41.172089 104.669 -30.2538
41.470440 105.485 -25.1609
41.770950 106.643 -21.5270
42.073643 107.966 -20.5950
42.378525 109.294 -22.6671
42.685616 110.518 -27.3718
42.994934 111.576 -34.1151
43.306492 112.438 -42.3243
43.620308 113.089 -51.5122
43.936401 113.530 -61.2719
44.254780 113.768 -71.2577
44.575470 113.818 -81.1748
44.898483 113.702 -90.7726
45.223835 113.453 -99.8510
45.551544 113.114 -108.2749
45.881630 112.735 -115.9924
46.214108 112.369 -123.0454
46.548996 112.061 -129.5594
46.886307 111.840 -135.7092
47.226067 111.721 -141.6805
47.568283 111.705 -147.6483
47.912983 111.789 -153.7789
48.260181 111.958 -160.2345
48.609894 112.188 -167.1615
48.962143 112.443 -174.6644
49.316940 112.679 177.2218
49.674313 112.858 168.5371
50.034271 112.950 159.3855
50.396843 112.935 149.9095
50.762039 112.807 140.2640
51.129883 112.568 130.5939
51.500389 112.228 121.0198
51.873581 111.801 111.6304
52.249481 111.304 102.4817
52.628101 110.753 93.6057
53.009464 110.162 85.0168
53.393593 109.545 76.7225
53.780506 108.914 68.7307
54.170223 108.284 61.0510
54.562763 107.672 53.6962
54.958145 107.095 46.6841
55.356396 106.577 40.0374
55.757530 106.145 33.7742
56.161572 105.835 27.8878
56.568542 105.684 22.3110
56.978462 105.720 16.8926
57.391350 105.943 11.4089
57.807232 106.319 5.6266
58.226128 106.794 -0.6180
58.648056 107.310 -7.3752
59.073048 107.824 -14.5916
59.501114 108.318 -22.1609
59.932281 108.789 -29.9841
60.366577 109.248 -38.0095
60.804020 109.702 -46.2446
61.244629 110.150 -54.7367
61.688435 110.583 -63.5386
62.135452 110.986 -72.6790
62.585712 111.344 -82.1482
63.039234 111.645 -91.9026
63.496040 111.881 -101.8751
63.956161 112.049 -111.9851
64.419617 112.152 -122.1466
64.886421 112.195 -132.2778
65.356621 112.191 -142.3148
65.830215 112.161 -152.2235
66.307251 112.125 -162.0099
66.787743 112.107 -171.7224
67.271713 112.126 178.5535
67.759193 112.199 168.7019
68.250206 112.334 158.5814
68.744774 112.526 148.0392
69.242928 112.757 136.9323
69.744690 112.997 125.1567
70.250084 113.208 112.6705
70.759148 113.353 99.5024
71.271896 113.399 85.7516
71.788361 113.320 71.5789
72.308571 113.103 57.1931
72.832550 112.744 42.8412
73.360321 112.256 28.7823
73.891922 111.672 15.2618
74.427376 111.045 2.4792
74.966705 110.446 -9.4321
75.509949 109.966 -20.4247
76.057121 109.701 -30.5621
76.608261 109.725 -40.0587
77.163399 110.046 -49.2786
77.722557 110.599 -58.6337
78.285767 111.270 -68.4189
78.853058 111.959 -78.7214
79.424461 112.604 -89.4507
80.000000 113.180 -100.4392
80.579712 113.689 -111.5247
81.163628 114.148 -122.5945
81.751770 114.575 -133.6003
82.344177 114.986 -144.5625
82.940880 115.383 -155.5508
83.541901 115.754 -166.6450
84.147285 116.074 -177.8853
84.757050 116.320 170.7500
85.371231 116.480 159.3318
85.989868 116.552 147.9446
86.612984 116.544 136.6479
87.240616 116.465 125.4648
87.872803 116.319 114.3931
88.509560 116.102 103.4329
89.150940 115.807 92.6108
89.796967 115.427 81.9893
90.447670 114.963 71.6558
91.103088 114.425 61.6970
91.763260 113.839 52.1587
92.428215 113.243 42.9990
93.097992 112.678 34.0547
93.772614 112.175 25.0598
94.452133 111.729 15.7131
95.136566 111.300 5.7893
95.825966 110.815 -4.7786
96.520363 110.199 -15.8474
97.219788 109.388 -27.0549
97.924286 108.345 -37.7886
98.633881 107.062 -47.0398
99.348625 105.564 -52.9084
100.068542 103.909 -51.1963
100.793686 102.208 -33.9993
101.524078 100.639 -6.0281
102.259766 99.422 7.9771
103.000778 98.698 9.5852
103.747162 98.390 6.0149
104.498962 98.263 0.9695
105.256203 98.121 -2.6040
106.018929 97.924 -0.9871
106.787186 97.773 9.4016
107.561012 97.821 24.5017
108.340446 98.133 33.6296
109.125526 98.651 35.4387
109.916290 99.286 33.4854
110.712791 99.999 30.2058
111.515060 100.806 26.6404
112.323143 101.721 22.9236
113.137085 102.723 18.7175
113.956924 103.756 13.6255
114.782700 104.757 7.4438
115.614464 105.677 0.1951
116.452255 106.485 -7.9536
117.296112 107.168 -16.7766
118.146095 107.732 -26.0425
119.002228 108.199 -35.5610
119.864563 108.597 -45.2256
120.733154 108.959 -55.0461
121.608040 109.295 -65.1472
122.489258 109.594 -75.6938
123.376869 109.822 -86.7910
124.270905 109.942 -98.4329
125.171425 109.928 -110.5356
126.078468 109.766 -122.9854
126.992081 109.447 -135.6641
127.912323 108.966 -148.4607
128.839233 108.323 -161.2693
129.772842 107.521 -174.0142
130.713242 106.567 173.3472
131.660431 105.462 160.8416
132.614502 104.214 148.4802
133.575485 102.851 136.1570
134.543427 101.474 123.2998
135.518387 100.308 107.9478
136.500412 99.708 84.1697
137.489548 99.920 38.4392
138.485855 100.803 -16.3728
139.489380 101.990 -48.6721
140.500168 103.189 -70.4521
141.518295 104.248 -89.0259
142.543793 105.107 -106.4819
143.576721 105.746 -123.4224
144.617142 106.161 -140.0002
145.665100 106.345 -156.1992
146.720642 106.280 -171.8687
147.783844 105.943 173.3176
148.854752 105.325 159.8562
149.933411 104.448 148.2646
151.019897 103.380 138.7803
152.114243 102.228 131.0774
153.216522 101.114 124.3254
154.326797 100.128 117.5889
155.445114 99.299 110.2256
156.571533 98.589 102.0181
157.706116 97.930 93.0876
158.848923 97.263 83.8503
160.000000 96.575 75.2373
161.159424 95.945 69.6067
162.327255 95.592 75.0854
163.503540 95.816 123.5037
164.688354 96.765 165.5095
165.881760 98.285 170.5637
167.083801 100.083 167.8640
168.294571 101.926 161.7957
169.514099 103.665 152.8206
170.742462 105.215 141.1101
171.979736 106.523 127.0913
173.225967 107.557 111.3137
174.481232 108.297 94.3206
175.745605 108.731 76.6150
177.019119 108.846 58.6909
178.301880 108.639 41.0811
179.593933 108.112 24.4092
180.895340 107.285 9.4312
182.206177 106.205 -2.9746
183.526520 104.966 -12.0120
184.856430 103.726 -17.6526
186.195984 102.679 -21.5664
187.545227 101.955 -26.5505
188.904266 101.525 -34.2170
190.273132 101.242 -44.3403
191.651932 100.974 -56.0347
193.040726 100.649 -68.5679
194.439575 100.240 -81.4631
195.848572 99.754 -94.3889
197.267761 99.231 -107.1245
198.697250 98.743 -119.6230
200.137085 98.373 -132.0562
201.587372 98.176 -144.6843
203.048157 98.174 -157.5640
204.519531 98.406 -170.4338
206.001556 98.946 176.9082
207.494324 99.814 164.1016
208.997925 100.901 150.2991
210.512405 102.018 134.7922
212.037857 102.996 117.4536
213.574371 103.725 98.7458
215.122025 104.162 79.5779
216.680893 104.329 61.1394
218.251053 104.309 44.7705
219.832581 104.251 31.6892
221.425583 104.328 22.0327
223.030121 104.636 13.6667
224.646286 105.117 3.4641
226.274170 105.606 -9.8213
227.913849 105.942 -25.5115
229.565399 106.016 -42.3789
231.228928 105.786 -59.2842
232.904510 105.258 -75.3140
234.592224 104.492 -89.8625
236.292191 103.588 -102.7185
238.004456 102.675 -114.0754
239.729126 101.889 -124.4072
241.466309 101.338 -134.3176
243.216080 101.059 -144.4614
244.978516 101.008 -155.3684
246.753738 101.100 -167.2100
248.541809 101.267 -179.8452
250.342850 101.456 167.0264
252.156937 101.614 154.1577
253.984161 101.705 143.7966
255.824646 101.731 141.7832
257.678467 101.721 157.0447
259.545685 101.696 175.3918
261.426483 101.671 178.2612
263.320862 101.687 175.0613
265.229004 101.820 172.6921
267.150970 102.149 172.0652
269.086853 102.723 171.1499
271.036774 103.535 168.4795
273.000824 104.495 162.8350
274.979095 105.444 153.1926
276.971710 106.213 139.8284
278.978760 106.682 124.0920
281.000336 106.801 107.6960
283.036591 106.602 92.3015
285.087585 106.210 79.2524
287.153442 105.844 69.0862
289.234283 105.749 60.9041
291.330200 106.026 52.5483
293.441284 106.545 42.0898
295.567688 107.068 28.9526
297.709503 107.404 13.7212
299.866821 107.476 -2.5410
302.039795 107.305 -18.9031
304.228485 106.972 -34.9307
306.433044 106.562 -50.5930
308.653595 106.134 -65.7625
310.890228 105.744 -79.9023
313.143066 105.466 -92.2363
315.412231 105.371 -102.4780
317.697845 105.459 -111.9436
320.000000 105.629 -122.9302
322.318848 105.739 -135.9072
324.654510 105.697 -147.5405
327.007080 105.485 -145.3635
329.376709 105.141 -104.5498
331.763519 104.749 -90.4204
334.167603 104.417 -100.6548
336.589142 104.267 -115.8164
339.028198 104.419 -131.7981
341.484924 104.911 -147.8948
343.959473 105.644 -164.7439
346.451935 106.431 176.7195
348.962463 107.104 156.1069
351.491211 107.577 133.7905
354.038239 107.852 110.8225
356.603760 108.002 95.1428
