* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:36:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 4.5798 ms (1.571 m, 5 ft 1.8 in)  relative to Loopback from SPEAKER L to MICROPHONE 2 with no timing offset
* Measurement: L uTV_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.733 -101.3818
20.144928 83.889 -114.4985
20.290907 83.918 -127.7040
20.437943 83.819 -140.9706
20.586044 83.594 -154.3347
20.735220 83.249 -167.9517
20.885475 82.798 177.8702
21.036821 82.266 162.4805
21.189262 81.703 144.4374
21.342808 81.179 120.4321
21.497467 80.784 84.3947
21.653246 80.597 39.2300
21.810154 80.653 5.3655
21.968201 80.924 -15.3922
22.127390 81.348 -29.2155
22.287735 81.869 -39.1827
22.449242 82.460 -46.5820
22.611917 83.124 -52.0433
22.775772 83.884 -55.9819
22.940815 84.757 -58.8062
23.107054 85.739 -60.9834
23.274498 86.799 -62.9924
23.443153 87.890 -65.2422
23.613033 88.962 -67.9954
23.784142 89.974 -71.3574
23.956491 90.899 -75.3167
24.130091 91.717 -79.7883
24.304947 92.419 -84.6597
24.481071 93.002 -89.8107
24.658470 93.467 -95.1271
24.837156 93.817 -100.5077
25.017136 94.061 -105.8643
25.198421 94.204 -111.1238
25.381020 94.259 -116.2286
25.564941 94.237 -121.1401
25.750195 94.149 -125.8386
25.936790 94.008 -130.3258
26.124741 93.824 -134.6234
26.314051 93.607 -138.7697
26.504732 93.362 -142.8130
26.696796 93.088 -146.8026
26.890253 92.784 -150.7799
27.085112 92.445 -154.7705
27.281382 92.067 -158.7847
27.479073 91.646 -162.8171
27.678198 91.182 -166.8599
27.878765 90.682 -170.9119
28.080786 90.157 -174.9990
28.284271 89.622 -179.1853
28.489231 89.093 176.4209
28.695675 88.584 171.6715
28.903616 88.097 166.4011
29.113064 87.626 160.4481
29.324028 87.153 153.6729
29.536524 86.659 145.9493
29.750557 86.132 137.1261
29.966141 85.578 126.9017
30.183289 85.037 114.4816
30.402010 84.589 97.1774
30.622314 84.337 63.4137
30.844217 84.362 -11.1860
31.067726 84.662 -55.3342
31.292856 85.156 -74.3145
31.519617 85.731 -86.6997
31.748020 86.304 -96.1135
31.978081 86.837 -103.5181
32.209808 87.342 -109.2109
32.443211 87.858 -113.3267
32.678310 88.437 -116.0449
32.915108 89.111 -117.6746
33.153625 89.882 -118.6272
33.393871 90.721 -119.2974
33.635857 91.593 -119.9341
33.879597 92.477 -120.6033
34.125103 93.374 -121.2471
34.372387 94.308 -121.8030
34.621464 95.305 -122.3164
34.872345 96.379 -122.9976
35.125042 97.514 -124.1797
35.379574 98.672 -126.1975
35.635948 99.801 -129.2671
35.894180 100.855 -133.4421
36.154285 101.794 -138.6436
36.416275 102.593 -144.7119
36.680161 103.237 -151.4561
36.945961 103.717 -158.6797
37.213688 104.029 -166.1924
37.483353 104.172 -173.8145
37.754974 104.146 178.6296
38.028561 103.955 171.3208
38.304131 103.604 164.4531
38.581699 103.098 158.2419
38.861279 102.452 152.9304
39.142883 101.686 148.7939
39.426529 100.841 146.1248
39.712231 99.976 145.1892
40.000000 99.182 146.1448
40.289856 98.576 148.9302
40.581814 98.274 153.1802
40.875885 98.359 158.2339
41.172089 98.841 163.2310
41.470440 99.654 167.2710
41.770950 100.683 169.6213
42.073643 101.798 169.8906
42.378525 102.887 168.0581
42.685616 103.867 164.3748
42.994934 104.679 159.2229
43.306492 105.289 153.0195
43.620308 105.676 146.1748
43.936401 105.831 139.0847
44.254780 105.752 132.1401
44.575470 105.446 125.7356
44.898483 104.934 120.2805
45.223835 104.251 116.2007
45.551544 103.455 113.9153
45.881630 102.635 113.7642
46.214108 101.915 115.8782
46.548996 101.435 120.0210
46.886307 101.316 125.5164
47.226067 101.612 131.3767
47.568283 102.284 136.5850
47.912983 103.232 140.3611
48.260181 104.338 142.2822
48.609894 105.496 142.2520
48.962143 106.626 140.4009
49.316940 107.671 136.9756
49.674313 108.592 132.2683
50.034271 109.365 126.5781
50.396843 109.975 120.1929
50.762039 110.417 113.3816
51.129883 110.695 106.3896
51.500389 110.816 99.4343
51.873581 110.797 92.6973
52.249481 110.658 86.3181
52.628101 110.421 80.3926
53.009464 110.106 74.9734
53.393593 109.731 70.0837
53.780506 109.311 65.7327
54.170223 108.852 61.9380
54.562763 108.363 58.7422
54.958145 107.854 56.2153
55.356396 107.341 54.4385
55.757530 106.852 53.4651
56.161572 106.425 53.2615
56.568542 106.099 53.6641
56.978462 105.896 54.3938
57.391350 105.817 55.1543
57.807232 105.838 55.7466
58.226128 105.932 56.1265
58.648056 106.080 56.3733
59.073048 106.281 56.6042
59.501114 106.552 56.8892
59.932281 106.912 57.1863
60.366577 107.372 57.3237
60.804020 107.926 57.0432
61.244629 108.542 56.0918
61.688435 109.180 54.3130
62.135452 109.796 51.6860
62.585712 110.359 48.3040
63.039234 110.849 44.3152
63.496040 111.262 39.8726
63.956161 111.596 35.0986
64.419617 111.855 30.0820
64.886421 112.039 24.8877
65.356621 112.148 19.5679
65.830215 112.181 14.1770
66.307251 112.135 8.7737
66.787743 112.011 3.4207
67.271713 111.805 -1.8118
67.759193 111.517 -6.8389
68.250206 111.146 -11.5581
68.744774 110.690 -15.8345
69.242928 110.151 -19.4866
69.744690 109.539 -22.2725
70.250084 108.879 -23.9114
70.759148 108.221 -24.1912
71.271896 107.639 -23.1580
71.788361 107.206 -21.2598
72.308571 106.952 -19.2063
72.832550 106.847 -17.5583
73.360321 106.829 -16.4341
73.891922 106.852 -15.5435
74.427376 106.912 -14.4202
74.966705 107.056 -12.7151
75.509949 107.346 -10.5193
76.057121 107.813 -8.4814
76.608261 108.414 -7.4556
77.163399 109.061 -7.9312
77.722557 109.667 -9.8560
78.285767 110.179 -12.8606
78.853058 110.577 -16.5105
79.424461 110.861 -20.4258
80.000000 111.049 -24.3037
80.579712 111.171 -27.9299
81.163628 111.265 -31.1975
81.751770 111.367 -34.1143
82.344177 111.509 -36.7939
82.940880 111.704 -39.4253
83.541901 111.947 -42.2378
84.147285 112.213 -45.4358
84.757050 112.463 -49.1299
85.371231 112.653 -53.2932
85.989868 112.751 -57.7776
86.612984 112.737 -62.3604
87.240616 112.609 -66.7808
87.872803 112.373 -70.7585
88.509560 112.056 -74.0090
89.150940 111.703 -76.2874
89.796967 111.385 -77.4824
90.447670 111.181 -77.7449
91.103088 111.154 -77.5464
91.763260 111.312 -77.5430
92.428215 111.605 -78.2981
93.097992 111.950 -80.0708
93.772614 112.266 -82.7942
94.452133 112.495 -86.1724
95.136566 112.608 -89.7788
95.825966 112.615 -93.1477
96.520363 112.564 -95.8975
97.219788 112.531 -97.8982
97.924286 112.592 -99.3833
98.633881 112.780 -100.8313
99.348625 113.078 -102.6733
100.068542 113.449 -105.1035
100.793686 113.862 -108.1238
101.524078 114.303 -111.6775
102.259766 114.768 -115.7471
103.000778 115.249 -120.3811
103.747162 115.731 -125.6746
104.498962 116.181 -131.7212
105.256203 116.553 -138.5598
106.018929 116.790 -146.1111
106.787186 116.838 -154.1326
107.561012 116.653 -162.1926
108.340446 116.220 -169.7078
109.125526 115.560 -176.0371
109.916290 114.741 179.3242
110.712791 113.877 176.5002
111.515060 113.099 175.0427
112.323143 112.510 174.0657
113.137085 112.132 172.7349
113.956924 111.916 170.6636
114.782700 111.791 167.8713
115.614464 111.709 164.5186
116.452255 111.645 160.7139
117.296112 111.585 156.4741
118.146095 111.509 151.7810
119.002228 111.392 146.6514
119.864563 111.212 141.1606
120.733154 110.951 135.4170
121.608040 110.600 129.5217
122.489258 110.145 123.5828
123.376869 109.563 117.7869
124.270905 108.832 112.5015
125.171425 107.939 108.3450
126.078468 106.906 106.2168
126.992081 105.815 107.1658
127.912323 104.825 111.7979
128.839233 104.155 119.0874
129.772842 103.968 126.1511
130.713242 104.247 130.4504
131.660431 104.814 131.3149
132.614502 105.465 129.2024
133.575485 106.044 124.8193
134.543427 106.451 118.8672
135.518387 106.631 112.0669
136.500412 106.563 105.2441
137.489548 106.275 99.4360
138.485855 105.855 95.9800
139.489380 105.481 96.3098
140.500168 105.388 100.6509
141.518295 105.727 106.0298
142.543793 106.437 108.1570
143.576721 107.317 105.6375
144.617142 108.191 99.4441
145.665100 108.970 90.8601
146.720642 109.641 80.8069
147.783844 110.233 69.8267
148.854752 110.787 58.1384
149.933411 111.322 45.6978
151.019897 111.814 32.3218
152.114243 112.201 17.8479
153.216522 112.404 2.2703
154.326797 112.352 -14.1870
155.445114 111.997 -31.0925
156.571533 111.323 -47.9045
157.706116 110.346 -64.0876
158.848923 109.098 -79.1592
160.000000 107.638 -92.6165
161.159424 106.060 -103.6572
162.327255 104.554 -110.3787
163.503540 103.493 -106.5049
164.688354 103.348 -71.2112
165.881760 104.228 -28.3906
167.083801 105.720 -21.1702
168.294571 107.363 -25.9612
169.514099 108.892 -35.5959
170.742462 110.186 -47.9397
171.979736 111.201 -61.7986
173.225967 111.935 -76.2344
174.481232 112.432 -90.4805
175.745605 112.770 -103.9995
177.019119 113.050 -116.5352
178.301880 113.371 -128.1348
179.593933 113.783 -139.0913
180.895340 114.276 -149.8115
182.206177 114.784 -160.6382
183.526520 115.228 -171.7271
184.856430 115.542 176.9778
186.195984 115.688 165.6936
187.545227 115.659 154.7180
188.904266 115.481 144.3193
190.273132 115.206 134.6235
191.651932 114.885 125.5911
193.040726 114.559 117.1230
194.439575 114.251 109.1382
195.848572 113.987 101.5408
197.267761 113.785 94.1423
198.697250 113.645 86.6641
200.137085 113.538 78.8645
201.587372 113.420 70.6506
203.048157 113.253 62.0491
204.519531 113.017 53.1255
206.001556 112.699 43.9424
207.494324 112.299 34.5461
208.997925 111.818 24.9536
210.512405 111.246 15.2185
212.037857 110.562 5.6035
213.574371 109.747 -3.1201
215.122025 108.819 -9.0845
216.680893 107.884 -7.5105
218.251053 107.147 12.5027
219.832581 106.854 44.8040
221.425583 107.112 56.8403
223.030121 107.778 55.3037
224.646286 108.574 48.1479
226.274170 109.261 38.0342
227.913849 109.694 26.2104
229.565399 109.815 13.7361
231.228928 109.639 1.9077
232.904510 109.244 -7.0789
234.592224 108.755 -7.4854
236.292191 108.306 16.5173
238.004456 107.981 51.5518
239.729126 107.787 58.2019
241.466309 107.698 53.4983
243.216080 107.694 45.7957
244.978516 107.756 37.3291
246.753738 107.844 28.7603
248.541809 107.909 20.3489
250.342850 107.902 12.2673
252.156937 107.783 4.7380
253.984161 107.534 -1.8691
255.824646 107.179 -7.1340
257.678467 106.788 -10.8325
259.545685 106.459 -12.8914
261.426483 106.318 -13.0715
263.320862 106.494 -11.1675
265.229004 107.062 -7.8254
267.150970 107.959 -5.0786
269.086853 109.006 -5.1487
271.036774 110.012 -8.7976
273.000824 110.838 -15.4038
274.979095 111.402 -23.8606
276.971710 111.660 -33.0608
278.978760 111.598 -41.8975
281.000336 111.251 -49.2188
283.036591 110.727 -54.0850
285.087585 110.202 -56.3040
287.153442 109.863 -56.8296
289.234283 109.812 -57.3074
291.330200 110.018 -58.8884
293.441284 110.391 -61.6641
295.567688 110.874 -65.2068
297.709503 111.450 -69.2952
299.866821 112.094 -74.1094
302.039795 112.759 -79.9351
304.228485 113.390 -86.8354
306.433044 113.948 -94.6755
308.653595 114.400 -103.3289
310.890228 114.697 -112.6782
313.143066 114.784 -122.4487
315.412231 114.619 -132.0842
317.697845 114.199 -140.7988
320.000000 113.573 -147.7524
322.318848 112.842 -152.3472
324.654510 112.145 -154.6848
327.007080 111.617 -155.7380
329.376709 111.328 -156.6809
331.763519 111.276 -158.2485
334.167603 111.403 -160.8596
336.589142 111.614 -164.6709
339.028198 111.818 -169.4248
341.484924 111.969 -174.5706
343.959473 112.084 -179.6257
346.451935 112.208 175.5383
348.962463 112.377 170.8022
351.491211 112.612 166.0605
