* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:44:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 10.4477 ms (3.584 m, 11 ft 9.1 in)  relative to Loopback from SPEAKER L to MICROPHONE 2 with no timing offset
* Measurement: L+R sedacka_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.415 -173.7937
20.144928 84.378 -172.9370
20.290907 84.398 -171.8346
20.437943 84.488 -170.6071
20.586044 84.650 -169.4097
20.735220 84.876 -168.4034
20.885475 85.149 -167.7231
21.036821 85.444 -167.4491
21.189262 85.735 -167.5966
21.342808 85.995 -168.1188
21.497467 86.204 -168.9149
21.653246 86.346 -169.8387
21.810154 86.411 -170.7083
21.968201 86.401 -171.3064
22.127390 86.328 -171.3910
22.287735 86.220 -170.7136
22.449242 86.121 -169.0642
22.611917 86.094 -166.3593
22.775772 86.200 -162.7480
22.940815 86.479 -158.6656
23.107054 86.931 -154.7268
23.274498 87.511 -151.4758
23.443153 88.153 -149.1862
23.613033 88.795 -147.8290
23.784142 89.395 -147.1577
23.956491 89.935 -146.8148
24.130091 90.427 -146.3998
24.304947 90.910 -145.5255
24.481071 91.449 -143.8944
24.658470 92.119 -141.4172
24.837156 92.976 -138.3505
25.017136 94.032 -135.3076
25.198421 95.245 -133.0426
25.381020 96.541 -132.1233
25.564941 97.847 -132.7648
25.750195 99.104 -134.8955
25.936790 100.274 -138.2942
26.124741 101.336 -142.7037
26.314051 102.279 -147.8799
26.504732 103.099 -153.6117
26.696796 103.796 -159.7189
26.890253 104.372 -166.0475
27.085112 104.834 -172.4633
27.281382 105.186 -178.8463
27.479073 105.436 174.9121
27.678198 105.596 168.9111
27.878765 105.676 163.2405
28.080786 105.692 157.9769
28.284271 105.663 153.1805
28.489231 105.608 148.8871
28.695675 105.548 145.1034
28.903616 105.503 141.8037
29.113064 105.490 138.9312
29.324028 105.519 136.4065
29.536524 105.596 134.1394
29.750557 105.719 132.0422
29.966141 105.885 130.0387
30.183289 106.088 128.0701
30.402010 106.320 126.0928
30.622314 106.577 124.0775
30.844217 106.852 122.0067
31.067726 107.138 119.8743
31.292856 107.432 117.6843
31.519617 107.731 115.4496
31.748020 108.032 113.1879
31.978081 108.337 110.9150
32.209808 108.650 108.6404
32.443211 108.973 106.3612
32.678310 109.309 104.0660
32.915108 109.659 101.7408
33.153625 110.023 99.3783
33.393871 110.400 96.9851
33.635857 110.797 94.5790
33.879597 111.223 92.1777
34.125103 111.693 89.7728
34.372387 112.225 87.3080
34.621464 112.831 84.6643
34.872345 113.509 81.6697
35.125042 114.242 78.1378
35.379574 115.000 73.9133
35.635948 115.744 68.9094
35.894180 116.439 63.1198
36.154285 117.053 56.6038
36.416275 117.562 49.4698
36.680161 117.949 41.8535
36.945961 118.201 33.9071
37.213688 118.310 25.7903
37.483353 118.271 17.6693
37.754974 118.080 9.7208
38.028561 117.736 2.1411
38.304131 117.241 -4.8422
38.581699 116.603 -10.9595
38.861279 115.837 -15.8851
39.142883 114.981 -19.2400
39.426529 114.103 -20.6245
39.712231 113.316 -19.7306
40.000000 112.779 -16.5544
40.289856 112.659 -11.6288
40.581814 113.044 -6.0298
40.875885 113.896 -1.0234
41.172089 115.084 2.3613
41.470440 116.453 3.5238
41.770950 117.874 2.2694
42.073643 119.246 -1.2968
42.378525 120.503 -6.8892
42.685616 121.600 -14.1427
42.994934 122.510 -22.6808
43.306492 123.216 -32.1503
43.620308 123.712 -42.2268
43.936401 123.997 -52.6141
44.254780 124.075 -63.0363
44.575470 123.956 -73.2385
44.898483 123.658 -82.9911
45.223835 123.206 -92.0973
45.551544 122.637 -100.4132
45.881630 121.993 -107.8684
46.214108 121.322 -114.4844
46.548996 120.668 -120.3663
46.886307 120.059 -125.6639
47.226067 119.507 -130.5226
47.568283 119.015 -135.0502
47.912983 118.584 -139.3259
48.260181 118.215 -143.4314
48.609894 117.913 -147.4730
48.962143 117.674 -151.5756
49.316940 117.485 -155.8512
49.674313 117.326 -160.3672
50.034271 117.175 -165.1365
50.396843 117.014 -170.1324
50.762039 116.833 -175.3105
51.129883 116.626 179.3751
51.500389 116.389 173.9630
51.873581 116.121 168.4874
52.249481 115.819 162.9801
52.628101 115.482 157.4750
53.009464 115.107 152.0120
53.393593 114.695 146.6445
53.780506 114.244 141.4484
54.170223 113.760 136.5195
54.562763 113.262 131.9520
54.958145 112.784 127.7904
55.356396 112.378 123.9631
55.757530 112.100 120.2374
56.161572 111.986 116.2449
56.568542 112.032 111.5864
56.978462 112.200 105.9578
57.391350 112.430 99.2156
57.807232 112.669 91.3608
58.226128 112.878 82.4856
58.648056 113.039 72.7158
59.073048 113.148 62.1752
59.501114 113.211 50.9657
59.932281 113.238 39.1625
60.366577 113.240 26.8226
60.804020 113.218 14.0021
61.244629 113.167 0.7809
61.688435 113.075 -12.7164
62.135452 112.928 -26.3090
62.585712 112.717 -39.7635
63.039234 112.441 -52.8157
63.496040 112.120 -65.2080
63.956161 111.794 -76.7363
64.419617 111.522 -87.3047
64.886421 111.373 -96.9639
65.356621 111.396 -105.9204
65.830215 111.605 -114.4795
66.307251 111.970 -122.9658
66.787743 112.434 -131.6465
67.271713 112.938 -140.7017
67.759193 113.427 -150.2305
68.250206 113.855 -160.2642
68.744774 114.182 -170.7751
69.242928 114.370 178.3306
69.744690 114.385 167.2280
70.250084 114.195 156.1948
70.759148 113.780 145.6411
71.271896 113.132 136.1499
71.788361 112.270 128.5210
72.308571 111.264 123.7524
72.832550 110.254 122.6934
73.360321 109.456 124.9868
73.891922 109.068 128.1440
74.427376 109.108 129.1670
74.966705 109.408 126.9741
75.509949 109.756 122.1230
76.057121 110.013 115.5571
76.608261 110.108 108.0627
77.163399 110.014 100.2178
77.722557 109.720 92.4880
78.285767 109.223 85.3308
78.853058 108.533 79.2607
79.424461 107.684 74.8289
80.000000 106.750 72.4727
80.579712 105.841 72.2324
81.163628 105.079 73.5315
81.751770 104.552 75.3643
82.344177 104.267 76.8630
82.940880 104.175 77.6731
83.541901 104.210 77.8977
84.147285 104.331 77.8682
84.757050 104.541 77.9114
85.371231 104.872 78.1396
85.989868 105.355 78.3140
86.612984 105.981 77.9099
87.240616 106.694 76.3882
87.872803 107.412 73.4541
88.509560 108.055 69.1438
89.150940 108.563 63.7573
89.796967 108.907 57.7393
90.447670 109.086 51.5693
91.103088 109.129 45.6838
91.763260 109.088 40.4343
92.428215 109.036 36.0476
93.097992 109.062 32.5535
93.772614 109.249 29.6709
94.452133 109.630 26.7698
95.136566 110.161 23.0837
95.825966 110.741 18.0811
96.520363 111.259 11.6733
97.219788 111.633 4.1431
97.924286 111.817 -4.0310
98.633881 111.796 -12.3069
99.348625 111.591 -20.1455
100.068542 111.253 -27.0750
100.793686 110.877 -32.8054
101.524078 110.589 -37.4048
102.259766 110.497 -41.4324
103.000778 110.632 -45.8101
103.747162 110.915 -51.3877
104.498962 111.205 -58.5435
105.256203 111.369 -67.1331
106.018929 111.313 -76.6658
106.787186 110.984 -86.4736
107.561012 110.365 -95.8169
108.340446 109.476 -104.0103
109.125526 108.378 -110.6318
109.916290 107.159 -115.7119
110.712791 105.918 -119.6060
111.515060 104.744 -122.4114
112.323143 103.743 -123.0979
113.137085 103.088 -118.1848
113.956924 103.021 -100.4797
114.782700 103.652 -72.3560
115.614464 104.804 -57.2029
116.452255 106.166 -55.7734
117.296112 107.501 -60.8855
118.146095 108.687 -69.2095
119.002228 109.668 -79.2920
119.864563 110.426 -90.3792
120.733154 110.959 -101.9966
121.608040 111.274 -113.7942
122.489258 111.394 -125.4922
123.376869 111.348 -136.8767
124.270905 111.182 -147.8210
125.171425 110.948 -158.3235
126.078468 110.692 -168.5251
126.992081 110.433 -178.6670
127.912323 110.151 171.0393
128.839233 109.799 160.5430
129.772842 109.328 149.9888
130.713242 108.710 139.6533
131.660431 107.945 129.8752
132.614502 107.063 121.0200
133.575485 106.137 113.4197
134.543427 105.299 107.1326
135.518387 104.722 101.5193
136.500412 104.524 95.1367
137.489548 104.660 86.4482
138.485855 104.955 74.6270
139.489380 105.235 59.5498
140.500168 105.394 41.3713
141.518295 105.391 20.2883
142.543793 105.232 -3.3481
143.576721 104.954 -28.6809
144.617142 104.617 -54.1304
145.665100 104.299 -77.8555
146.720642 104.094 -98.6262
147.783844 104.101 -116.2339
148.854752 104.355 -131.3655
149.933411 104.778 -145.1377
151.019897 105.218 -158.4009
152.114243 105.556 -171.3406
153.216522 105.759 176.3140
154.326797 105.875 164.8577
155.445114 105.985 154.3574
156.571533 106.162 144.6362
157.706116 106.444 135.4048
158.848923 106.837 126.4055
160.000000 107.329 117.4028
161.159424 107.882 108.0815
162.327255 108.428 98.0979
163.503540 108.875 87.2808
164.688354 109.149 75.7788
165.881760 109.217 63.9863
167.083801 109.092 52.3293
168.294571 108.821 41.0854
169.514099 108.456 30.3398
170.742462 108.042 20.0557
171.979736 107.607 10.1746
173.225967 107.173 0.6289
174.481232 106.752 -8.6721
175.745605 106.337 -17.7710
177.019119 105.905 -26.4641
178.301880 105.443 -34.1143
179.593933 104.998 -39.6304
180.895340 104.697 -41.9468
182.206177 104.699 -41.7119
183.526520 105.060 -41.8896
184.856430 105.660 -45.5000
186.195984 106.299 -52.9648
187.545227 106.812 -63.2295
188.904266 107.113 -75.0576
190.273132 107.188 -87.3879
191.651932 107.093 -99.4006
193.040726 106.946 -110.5789
194.439575 106.913 -120.8098
195.848572 107.150 -130.5083
197.267761 107.703 -140.5601
198.697250 108.480 -151.9321
200.137085 109.323 -165.2283
201.587372 110.092 179.4441
203.048157 110.700 162.3176
204.519531 111.098 143.7654
206.001556 111.256 124.1897
207.494324 111.148 104.0361
208.997925 110.753 83.8433
210.512405 110.062 64.2761
212.037857 109.088 46.0151
213.574371 107.884 29.4707
215.122025 106.550 14.5334
216.680893 105.210 0.9185
218.251053 103.985 -10.7219
219.832581 102.951 -16.7107
221.425583 102.152 -7.4031
223.030121 101.620 15.3123
224.646286 101.383 20.8770
226.274170 101.438 12.5793
227.913849 101.732 -0.8188
229.565399 102.170 -16.1465
231.228928 102.652 -32.2441
232.904510 103.101 -48.6238
234.592224 103.482 -64.9321
236.292191 103.825 -80.7517
238.004456 104.217 -95.7224
239.729126 104.753 -109.7651
241.466309 105.462 -123.2939
243.216080 106.277 -137.3562
244.978516 107.066 -153.1714
246.753738 107.700 -171.3047
248.541809 108.090 168.4373
250.342850 108.202 146.5159
252.156937 108.043 123.2922
253.984161 107.668 98.7837
255.824646 107.176 72.4214
257.678467 106.692 42.7314
259.545685 106.345 6.8518
261.426483 106.229 -38.3542
263.320862 106.351 -88.3403
265.229004 106.622 -131.5344
267.150970 106.898 -166.2478
269.086853 107.036 164.1824
271.036774 106.949 137.7285
273.000824 106.621 113.6455
274.979095 106.108 91.7312
276.971710 105.528 71.9517
278.978760 105.045 54.1931
281.000336 104.805 38.2412
283.036591 104.853 24.9141
285.087585 105.128 21.3408
287.153442 105.558 57.2456
289.234283 106.105 85.0876
291.330200 106.734 75.7139
293.441284 107.371 57.9863
295.567688 107.922 37.5864
297.709503 108.319 16.1240
299.866821 108.561 -5.6758
302.039795 108.699 -27.5063
304.228485 108.790 -49.3301
306.433044 108.876 -71.1294
308.653595 108.977 -92.6499
310.890228 109.097 -113.0439
313.143066 109.206 -129.0557
315.412231 109.246 -124.1875
317.697845 109.159 -73.3101
320.000000 108.915 -71.5293
322.318848 108.514 -87.3081
324.654510 107.986 -105.3242
327.007080 107.398 -122.0918
329.376709 106.867 -136.2480
331.763519 106.545 -148.1592
334.167603 106.502 -159.8755
336.589142 106.644 -173.4106
339.028198 106.807 170.8823
341.484924 106.913 153.9365
343.959473 107.016 136.6187
346.451935 107.209 118.8926
348.962463 107.503 100.0176
351.491211 107.802 79.3032
354.038239 107.993 56.6904
