* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:45:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 6.4579 ms (2.215 m, 7 ft 3.2 in)  relative to Loopback from SPEAKER L to MICROPHONE 2 with no timing offset
* Measurement: L+R stred_obyvaku_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 77.049 158.9717
20.144928 77.439 157.2021
20.290907 77.797 155.1823
20.437943 78.125 153.1268
20.586044 78.435 151.1974
20.735220 78.743 149.4960
20.885475 79.064 148.0698
21.036821 79.406 146.9225
21.189262 79.774 146.0261
21.342808 80.169 145.3387
21.497467 80.586 144.8213
21.653246 81.019 144.4446
21.810154 81.467 144.1914
21.968201 81.926 144.0519
22.127390 82.400 144.0121
22.287735 82.890 144.0453
22.449242 83.398 144.1089
22.611917 83.925 144.1462
22.775772 84.464 144.0962
22.940815 85.009 143.9072
23.107054 85.549 143.5475
23.274498 86.074 143.0121
23.443153 86.578 142.3209
23.613033 87.056 141.5118
23.784142 87.510 140.6283
23.956491 87.945 139.7059
24.130091 88.369 138.7566
24.304947 88.794 137.7605
24.481071 89.227 136.6614
24.658470 89.671 135.3724
24.837156 90.124 133.7926
25.017136 90.574 131.8254
25.198421 91.005 129.3990
25.381020 91.398 126.4755
25.564941 91.731 123.0559
25.750195 91.985 119.1753
25.936790 92.143 114.8975
26.124741 92.189 110.3094
26.314051 92.111 105.5173
26.504732 91.897 100.6482
26.696796 91.538 95.8546
26.890253 91.027 91.3240
27.085112 90.359 87.2971
27.281382 89.536 84.0938
27.479073 88.571 82.1450
27.678198 87.497 82.0184
27.878765 86.386 84.3627
28.080786 85.358 89.6123
28.284271 84.572 97.3186
28.489231 84.159 105.7126
28.695675 84.129 112.6559
28.903616 84.367 117.1106
29.113064 84.724 119.2314
29.324028 85.086 119.6433
29.536524 85.391 118.9718
29.750557 85.618 117.7113
29.966141 85.768 116.2273
30.183289 85.860 114.7866
30.402010 85.919 113.5750
30.622314 85.977 112.7028
30.844217 86.072 112.1934
31.067726 86.239 111.9655
31.292856 86.504 111.8326
31.519617 86.871 111.5348
31.748020 87.321 110.8021
31.978081 87.818 109.4298
32.209808 88.314 107.3226
32.443211 88.765 104.4987
32.678310 89.131 101.0662
32.915108 89.384 97.1940
33.153625 89.502 93.0885
33.393871 89.474 88.9780
33.635857 89.294 85.1055
33.879597 88.969 81.7235
34.125103 88.513 79.0782
34.372387 87.954 77.3848
34.621464 87.331 76.7839
34.872345 86.690 77.3085
35.125042 86.076 78.8909
35.379574 85.523 81.4707
35.635948 85.061 85.2020
35.894180 84.739 90.6539
36.154285 84.651 98.7870
36.416275 84.925 110.1655
36.680161 85.629 123.1924
36.945961 86.685 134.0999
37.213688 87.915 140.4767
37.483353 89.150 142.5677
37.754974 90.279 141.5848
38.028561 91.247 138.6163
38.304131 92.038 134.4403
38.581699 92.660 129.5938
38.861279 93.130 124.4493
39.142883 93.478 119.2672
39.426529 93.735 114.2152
39.712231 93.938 109.3778
40.000000 94.118 104.7625
40.289856 94.297 100.3145
40.581814 94.487 95.9406
40.875885 94.685 91.5411
41.172089 94.878 87.0352
41.470440 95.050 82.3744
41.770950 95.180 77.5437
42.073643 95.247 72.5574
42.378525 95.230 67.4585
42.685616 95.105 62.3292
42.994934 94.845 57.3165
43.306492 94.426 52.6741
43.620308 93.829 48.8408
43.936401 93.054 46.5813
44.254780 92.141 47.2563
44.575470 91.203 53.2236
44.898483 90.446 67.4399
45.223835 90.104 88.6566
45.551544 90.294 107.8126
45.881630 90.938 120.3547
46.214108 91.886 128.3916
46.548996 93.014 134.0187
46.886307 94.241 138.0613
47.226067 95.510 140.8147
47.568283 96.792 142.6261
47.912983 98.099 143.9806
48.260181 99.469 145.2490
48.609894 100.927 146.3639
48.962143 102.453 146.7346
49.316940 103.985 145.5962
49.674313 105.445 142.4989
50.034271 106.770 137.4735
50.396843 107.919 130.8684
50.762039 108.877 123.1376
51.129883 109.647 114.7166
51.500389 110.243 105.9740
51.873581 110.689 97.1989
52.249481 111.014 88.6011
52.628101 111.246 80.3151
53.009464 111.412 72.4076
53.393593 111.533 64.8907
53.780506 111.619 57.7396
54.170223 111.674 50.9163
54.562763 111.694 44.3879
54.958145 111.671 38.1483
55.356396 111.595 32.2242
55.757530 111.462 26.6792
56.161572 111.273 21.6022
56.568542 111.041 17.0895
56.978462 110.789 13.2194
57.391350 110.547 10.0222
57.807232 110.353 7.4543
58.226128 110.242 5.3842
58.648056 110.237 3.6038
59.073048 110.343 1.8680
59.501114 110.545 -0.0425
59.932281 110.816 -2.2692
60.366577 111.127 -4.8577
60.804020 111.457 -7.7809
61.244629 111.793 -10.9843
61.688435 112.130 -14.4226
62.135452 112.461 -18.0679
62.585712 112.779 -21.8934
63.039234 113.077 -25.8503
63.496040 113.354 -29.8635
63.956161 113.620 -33.8560
64.419617 113.894 -37.7821
64.886421 114.195 -41.6549
65.356621 114.545 -45.5450
65.830215 114.952 -49.5588
66.307251 115.424 -53.8198
66.787743 115.958 -58.4617
67.271713 116.542 -63.6320
67.759193 117.153 -69.4806
68.250206 117.755 -76.1273
68.744774 118.302 -83.6235
69.242928 118.748 -91.9265
69.744690 119.052 -100.8988
70.250084 119.186 -110.3229
70.759148 119.131 -119.9268
71.271896 118.880 -129.4054
71.788361 118.443 -138.4442
72.308571 117.844 -146.7467
72.832550 117.127 -154.0767
73.360321 116.360 -160.3365
73.891922 115.632 -165.6576
74.427376 115.031 -170.4451
74.966705 114.601 -175.2672
75.509949 114.319 179.3887
76.057121 114.105 173.3092
76.608261 113.877 166.5630
77.163399 113.579 159.3710
77.722557 113.191 151.9747
78.285767 112.715 144.5531
78.853058 112.169 137.2075
79.424461 111.571 129.9786
80.000000 110.946 122.8634
80.579712 110.329 115.8046
81.163628 109.767 108.6509
81.751770 109.311 101.1274
82.344177 109.003 92.8461
82.940880 108.846 83.3771
83.541901 108.802 72.3357
84.147285 108.811 59.4318
84.757050 108.816 44.4487
85.371231 108.788 27.1689
85.989868 108.724 7.3083
86.612984 108.639 -15.4684
87.240616 108.552 -41.3331
87.872803 108.471 -69.8667
88.509560 108.394 -99.7720
89.150940 108.310 -129.3928
89.796967 108.205 -157.6587
90.447670 108.056 175.6440
91.103088 107.837 150.2742
91.763260 107.518 125.9683
92.428215 107.079 102.6445
93.097992 106.519 80.4600
93.772614 105.870 59.7622
94.452133 105.205 40.9673
95.136566 104.648 24.3718
95.825966 104.357 9.9497
96.520363 104.444 -2.7361
97.219788 104.885 -14.3894
97.924286 105.535 -25.6592
98.633881 106.232 -36.9150
99.348625 106.868 -48.2415
100.068542 107.392 -59.5510
100.793686 107.797 -70.6924
101.524078 108.103 -81.5305
102.259766 108.336 -91.9917
103.000778 108.520 -102.0654
103.747162 108.671 -111.7852
104.498962 108.793 -121.2217
105.256203 108.875 -130.4634
106.018929 108.892 -139.5688
106.787186 108.816 -148.5156
107.561012 108.627 -157.1934
108.340446 108.325 -165.4233
109.125526 107.920 -172.9419
109.916290 107.439 -179.2812
110.712791 106.941 176.4038
111.515060 106.539 175.3394
112.323143 106.388 178.2734
113.137085 106.584 -176.6467
113.956924 107.048 -173.6792
114.782700 107.571 -175.0540
115.614464 107.950 -179.8994
116.452255 108.065 173.6614
117.296112 107.886 167.5032
118.146095 107.468 163.4143
119.002228 106.963 162.9116
119.864563 106.603 166.2168
120.733154 106.609 171.0261
121.608040 107.034 174.0625
122.489258 107.755 174.0178
123.376869 108.604 171.3889
124.270905 109.472 167.0549
125.171425 110.314 161.6768
126.078468 111.122 155.6174
126.992081 111.897 148.9819
127.912323 112.620 141.7004
128.839233 113.255 133.6719
129.772842 113.752 124.9097
130.713242 114.066 115.5991
131.660431 114.169 106.0732
132.614502 114.046 96.7781
133.575485 113.700 88.2698
134.543427 113.167 81.2190
135.518387 112.533 76.3396
136.500412 111.955 74.1038
137.489548 111.646 74.1624
138.485855 111.770 74.9995
139.489380 112.327 74.7285
140.500168 113.173 72.3079
141.518295 114.145 67.6426
142.543793 115.119 60.9954
143.576721 116.011 52.6431
144.617142 116.758 42.8386
145.665100 117.313 31.8740
146.720642 117.643 20.1050
147.783844 117.736 7.9497
148.854752 117.600 -4.1479
149.933411 117.272 -15.7759
151.019897 116.825 -26.6589
152.114243 116.361 -36.8379
153.216522 115.977 -46.8008
154.326797 115.688 -57.2932
155.445114 115.413 -68.8152
156.571533 115.028 -81.3281
157.706116 114.437 -94.4023
158.848923 113.595 -107.4897
160.000000 112.495 -120.1108
161.159424 111.163 -131.9417
162.327255 109.641 -142.8108
163.503540 107.990 -152.6450
164.688354 106.309 -161.5146
165.881760 104.775 -169.9980
167.083801 103.660 -179.5972
168.294571 103.202 167.5869
169.514099 103.379 149.9717
170.742462 103.926 127.4561
171.979736 104.562 101.7485
173.225967 105.111 75.5288
174.481232 105.481 50.8010
175.745605 105.621 28.3044
177.019119 105.500 8.1499
178.301880 105.112 -9.5769
179.593933 104.496 -24.6418
180.895340 103.744 -36.6897
182.206177 102.991 -45.0984
183.526520 102.384 -48.7947
184.856430 102.054 -47.4778
186.195984 102.057 -44.5481
187.545227 102.322 -45.0923
188.904266 102.700 -50.2761
190.273132 103.049 -58.5222
191.651932 103.306 -68.1426
193.040726 103.503 -78.0039
194.439575 103.745 -87.6992
195.848572 104.126 -97.5271
197.267761 104.646 -108.1262
198.697250 105.230 -120.0127
200.137085 105.803 -133.3328
201.587372 106.338 -147.9666
203.048157 106.839 -163.8342
204.519531 107.284 178.9851
206.001556 107.616 160.4526
207.494324 107.771 140.8357
208.997925 107.731 120.7766
210.512405 107.552 101.1169
212.037857 107.353 82.6797
213.574371 107.294 66.2039
215.122025 107.522 52.3647
216.680893 108.118 41.4238
218.251053 109.042 32.3123
219.832581 110.132 22.7173
221.425583 111.192 10.9641
223.030121 112.071 -3.0054
224.646286 112.687 -18.3547
226.274170 113.031 -34.0942
227.913849 113.162 -49.4700
229.565399 113.171 -64.1975
231.228928 113.118 -78.3740
232.904510 113.006 -92.1116
234.592224 112.815 -105.3098
236.292191 112.552 -117.7578
238.004456 112.274 -129.4048
239.729126 112.044 -140.5103
241.466309 111.883 -151.5051
243.216080 111.748 -162.7021
244.978516 111.562 -174.1169
246.753738 111.262 174.5190
248.541809 110.829 163.6299
250.342850 110.307 153.6040
252.156937 109.788 144.6365
253.984161 109.400 136.6265
255.824646 109.244 128.9963
257.678467 109.328 120.6377
259.545685 109.537 110.4502
261.426483 109.717 97.9988
263.320862 109.765 83.4729
265.229004 109.651 67.1685
267.150970 109.385 49.1394
269.086853 108.993 29.1235
271.036774 108.517 6.5291
273.000824 108.011 -19.5115
274.979095 107.541 -49.4065
276.971710 107.187 -81.5210
278.978760 107.028 -112.1196
281.000336 107.091 -138.5950
283.036591 107.323 -160.8445
285.087585 107.645 -179.6116
287.153442 108.030 164.6370
289.234283 108.520 151.5330
291.330200 109.141 140.1958
293.441284 109.830 129.1309
295.567688 110.465 117.0354
297.709503 110.952 103.6267
299.866821 111.280 89.4548
302.039795 111.514 75.1506
304.228485 111.750 60.9126
306.433044 112.041 46.4001
308.653595 112.372 31.1875
310.890228 112.697 15.4502
313.143066 113.008 0.7207
315.412231 113.335 -4.7832
317.697845 113.710 62.0950
320.000000 114.135 89.1533
322.318848 114.575 75.8650
324.654510 114.957 58.1492
327.007080 115.205 39.2822
329.376709 115.256 20.3193
331.763519 115.069 1.8784
334.167603 114.624 -15.4512
336.589142 113.921 -30.8281
339.028198 113.004 -42.9209
341.484924 111.984 -49.4976
343.959473 111.040 -47.3726
346.451935 110.374 -37.6123
348.962463 110.118 -31.0332
351.491211 110.248 -32.7324
354.038239 110.614 -39.7793
356.603760 111.040 -49.5400
359.187866 111.383 -60.6289
361.790680 111.574 -72.0420
364.412354 111.637 -82.9546
