* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:43:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 5.0806 ms (1.743 m, 5 ft 8.6 in)  relative to Loopback from SPEAKER L to MICROPHONE 2 with no timing offset
* Measurement: L+R uTV_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.198 -51.5306
20.144928 81.303 -48.0233
20.290907 81.539 -43.3876
20.437943 81.970 -38.1075
20.586044 82.608 -33.0099
20.735220 83.408 -28.9258
20.885475 84.290 -26.3542
21.036821 85.174 -25.3866
21.189262 85.996 -25.8489
21.342808 86.713 -27.4634
21.497467 87.298 -29.9347
21.653246 87.736 -32.9857
21.810154 88.020 -36.3583
21.968201 88.148 -39.7970
22.127390 88.125 -43.0378
22.287735 87.967 -45.7919
22.449242 87.705 -47.7411
22.611917 87.401 -48.5713
22.775772 87.151 -48.0586
22.940815 87.077 -46.2549
23.107054 87.293 -43.6733
23.274498 87.833 -41.2386
23.443153 88.633 -39.8972
23.613033 89.580 -40.1942
23.784142 90.569 -42.1964
23.956491 91.528 -45.6771
24.130091 92.422 -50.3041
24.304947 93.240 -55.7493
24.481071 93.988 -61.7278
24.658470 94.679 -68.0071
24.837156 95.334 -74.4111
25.017136 95.973 -80.8160
25.198421 96.615 -87.1537
25.381020 97.275 -93.4052
25.564941 97.957 -99.5950
25.750195 98.659 -105.7766
25.936790 99.368 -112.0144
26.124741 100.067 -118.3688
26.314051 100.734 -124.8787
26.504732 101.349 -131.5602
26.696796 101.893 -138.4012
26.890253 102.350 -145.3666
27.085112 102.707 -152.4005
27.281382 102.952 -159.4304
27.479073 103.078 -166.3696
27.678198 103.079 -173.1162
27.878765 102.952 -179.5527
28.080786 102.697 174.4539
28.284271 102.319 169.0546
28.489231 101.831 164.4117
28.695675 101.253 160.6849
28.903616 100.619 158.0027
29.113064 99.978 156.4120
29.324028 99.384 155.8226
29.536524 98.888 155.9777
29.750557 98.515 156.4963
29.966141 98.258 156.9937
30.183289 98.082 157.2053
30.402010 97.937 157.0460
30.622314 97.781 156.5835
30.844217 97.588 155.9756
31.067726 97.348 155.4045
31.292856 97.067 155.0319
31.519617 96.758 154.9700
31.748020 96.439 155.2765
31.978081 96.124 155.9684
32.209808 95.826 157.0486
32.443211 95.553 158.5339
32.678310 95.316 160.4645
32.915108 95.133 162.8845
33.153625 95.030 165.8064
33.393871 95.036 169.1790
33.635857 95.177 172.8982
33.879597 95.474 176.8501
34.125103 95.942 -179.0450
34.372387 96.597 -174.8575
34.621464 97.450 -170.7439
34.872345 98.494 -167.0449
35.125042 99.692 -164.2545
35.379574 100.981 -162.8451
35.635948 102.289 -163.0833
35.894180 103.552 -164.9778
36.154285 104.722 -168.3544
36.416275 105.765 -172.9518
36.680161 106.663 -178.4918
36.945961 107.405 175.2855
37.213688 107.986 168.6133
37.483353 108.405 161.6978
37.754974 108.664 154.7252
38.028561 108.765 147.8726
38.304131 108.714 141.3116
38.581699 108.519 135.2141
38.861279 108.192 129.7528
39.142883 107.751 125.1021
39.426529 107.222 121.4294
39.712231 106.641 118.8877
40.000000 106.055 117.6119
40.289856 105.524 117.7334
40.581814 105.124 119.3984
40.875885 104.955 122.7377
41.172089 105.122 127.6619
41.470440 105.689 133.4827
41.770950 106.620 138.7941
42.073643 107.782 142.1127
42.378525 109.015 142.6975
42.685616 110.191 140.6383
42.994934 111.225 136.4402
43.306492 112.071 130.6857
43.620308 112.706 123.9012
43.936401 113.123 116.5354
44.254780 113.326 108.9716
44.575470 113.326 101.5396
44.898483 113.142 94.5231
45.223835 112.802 88.1571
45.551544 112.343 82.6152
45.881630 111.805 77.9948
46.214108 111.231 74.3102
46.548996 110.655 71.5131
46.886307 110.099 69.5382
47.226067 109.575 68.3541
47.568283 109.097 67.9821
47.912983 108.685 68.4679
48.260181 108.373 69.8185
48.609894 108.201 71.9392
48.962143 108.204 74.5999
49.316940 108.402 77.4503
49.674313 108.788 80.0748
50.034271 109.329 82.0753
50.396843 109.976 83.1594
50.762039 110.671 83.1971
51.129883 111.365 82.2185
51.500389 112.021 80.3638
51.873581 112.620 77.8140
52.249481 113.153 74.7404
52.628101 113.618 71.2754
53.009464 114.012 67.5155
53.393593 114.329 63.5420
53.780506 114.561 59.4520
54.170223 114.700 55.3794
54.562763 114.748 51.5000
54.958145 114.716 48.0176
55.356396 114.632 45.1239
55.757530 114.540 42.9447
56.161572 114.496 41.4767
56.568542 114.548 40.5526
56.978462 114.721 39.8706
57.391350 115.011 39.0939
57.807232 115.388 37.9650
58.226128 115.815 36.3636
58.648056 116.262 34.2955
59.073048 116.710 31.8359
59.501114 117.153 29.0758
59.932281 117.592 26.0767
60.366577 118.033 22.8535
60.804020 118.475 19.3773
61.244629 118.909 15.5988
61.688435 119.320 11.4827
62.135452 119.687 7.0364
62.585712 119.994 2.3237
63.039234 120.229 -2.5402
63.496040 120.393 -7.4116
63.956161 120.497 -12.1542
64.419617 120.564 -16.6711
64.886421 120.623 -20.9348
65.356621 120.697 -24.9908
65.830215 120.805 -28.9418
66.307251 120.949 -32.9126
66.787743 121.126 -37.0182
67.271713 121.323 -41.3484
67.759193 121.523 -45.9612
68.250206 121.708 -50.8794
68.744774 121.859 -56.0853
69.242928 121.958 -61.5129
69.744690 121.995 -67.0552
70.250084 121.973 -72.5837
70.759148 121.909 -77.9918
71.271896 121.834 -83.2408
71.788361 121.780 -88.3955
72.308571 121.771 -93.6198
72.832550 121.810 -99.1309
73.360321 121.875 -105.1299
73.891922 121.925 -111.7401
74.427376 121.912 -118.9783
74.966705 121.790 -126.7545
75.509949 121.520 -134.8896
76.057121 121.075 -143.1453
76.608261 120.442 -151.2518
77.163399 119.617 -158.9326
77.722557 118.609 -165.9221
78.285767 117.428 -171.9688
78.853058 116.092 -176.8241
79.424461 114.622 179.7939
80.000000 113.043 178.2656
80.579712 111.391 179.1744
81.163628 109.731 -176.5659
81.751770 108.181 -167.7383
82.344177 106.937 -153.7017
82.940880 106.231 -136.7108
83.541901 106.186 -121.8010
84.147285 106.695 -111.8239
84.757050 107.527 -106.3032
85.371231 108.483 -103.8973
85.989868 109.449 -103.5660
86.612984 110.370 -104.6553
87.240616 111.224 -106.7677
87.872803 112.001 -109.6475
88.509560 112.700 -113.1135
89.150940 113.324 -117.0332
89.796967 113.878 -121.3181
90.447670 114.364 -125.9165
91.103088 114.782 -130.7937
91.763260 115.130 -135.9100
92.428215 115.407 -141.2150
93.097992 115.617 -146.6576
93.772614 115.765 -152.2010
94.452133 115.861 -157.8398
95.136566 115.910 -163.6107
95.825966 115.909 -169.5847
96.520363 115.841 -175.8182
97.219788 115.679 177.7045
97.924286 115.393 171.1115
98.633881 114.968 164.6525
99.348625 114.415 158.7112
100.068542 113.789 153.8912
100.793686 113.224 151.2913
101.524078 112.945 153.2649
102.259766 113.193 164.5305
103.000778 114.028 -172.9307
103.747162 115.253 -154.7795
104.498962 116.582 -150.2013
105.256203 117.801 -153.9415
106.018929 118.789 -161.8146
106.787186 119.485 -171.7223
107.561012 119.866 177.5333
108.340446 119.939 166.7787
109.125526 119.738 156.6321
109.916290 119.326 147.5142
110.712791 118.788 139.6018
111.515060 118.217 132.8010
112.323143 117.688 126.8054
113.137085 117.227 121.2644
113.956924 116.813 115.9850
114.782700 116.407 111.0232
115.614464 115.991 106.6146
116.452255 115.591 102.9760
117.296112 115.269 100.0735
118.146095 115.089 97.5140
119.002228 115.068 94.7020
119.864563 115.161 91.1683
120.733154 115.301 86.7600
121.608040 115.432 81.5681
122.489258 115.526 75.7500
123.376869 115.569 69.4167
124.270905 115.549 62.6184
125.171425 115.445 55.3959
126.078468 115.228 47.8461
126.992081 114.869 40.1582
127.912323 114.343 32.6315
128.839233 113.633 25.7070
129.772842 112.740 20.0216
130.713242 111.698 16.4630
131.660431 110.593 16.0973
132.614502 109.592 19.5984
133.575485 108.908 25.8593
134.543427 108.672 31.5951
135.518387 108.810 34.0985
136.500412 109.115 33.1294
137.489548 109.394 29.7684
138.485855 109.547 25.2249
139.489380 109.548 20.5125
140.500168 109.444 16.4530
141.518295 109.339 13.6754
142.543793 109.389 12.4773
143.576721 109.752 12.5549
144.617142 110.496 12.8954
145.665100 111.556 12.1979
146.720642 112.798 9.5546
147.783844 114.094 4.7048
148.854752 115.360 -2.1902
149.933411 116.545 -10.8555
151.019897 117.606 -21.0657
152.114243 118.495 -32.6616
153.216522 119.156 -45.4728
154.326797 119.535 -59.2059
155.445114 119.597 -73.3979
156.571533 119.333 -87.4849
157.706116 118.770 -100.9375
158.848923 117.959 -113.3682
160.000000 116.972 -124.5718
161.159424 115.895 -134.5295
162.327255 114.835 -143.4229
163.503540 113.905 -151.6799
164.688354 113.193 -159.9365
165.881760 112.704 -168.8167
167.083801 112.355 -178.6809
168.294571 112.017 170.4858
169.514099 111.586 159.0991
170.742462 111.042 148.0129
171.979736 110.490 138.9683
173.225967 110.187 138.9888
174.481232 110.440 -158.6562
175.745605 111.341 -111.3440
177.019119 112.669 -114.8643
178.301880 114.122 -124.5308
179.593933 115.502 -136.6104
180.895340 116.718 -150.0503
182.206177 117.741 -164.3062
183.526520 118.568 -179.0215
184.856430 119.198 166.0300
186.195984 119.620 151.0107
187.545227 119.823 136.1062
188.904266 119.800 121.5645
190.273132 119.565 107.6670
191.651932 119.145 94.6624
193.040726 118.587 82.7356
194.439575 117.948 71.9878
195.848572 117.302 62.3977
197.267761 116.732 53.7886
198.697250 116.318 45.8408
200.137085 116.109 38.1880
201.587372 116.121 30.4707
203.048157 116.334 22.3127
204.519531 116.685 13.3350
206.001556 117.090 3.2798
207.494324 117.469 -7.9036
208.997925 117.766 -20.1121
210.512405 117.948 -33.1995
212.037857 117.985 -47.0210
213.574371 117.856 -61.3999
215.122025 117.548 -76.1182
216.680893 117.067 -90.9641
218.251053 116.431 -105.7705
219.832581 115.663 -120.3999
221.425583 114.797 -134.7336
223.030121 113.871 -148.6729
224.646286 112.930 -162.1101
226.274170 112.025 -174.8335
227.913849 111.237 173.4294
229.565399 110.704 162.5737
231.228928 110.555 151.8225
232.904510 110.785 140.2004
234.592224 111.236 127.2249
236.292191 111.719 113.0442
238.004456 112.120 98.2043
239.729126 112.416 83.3398
241.466309 112.659 68.9133
243.216080 112.929 55.0691
244.978516 113.278 41.5981
246.753738 113.690 28.1152
248.541809 114.089 14.3274
250.342850 114.381 0.1665
252.156937 114.485 -14.2002
253.984161 114.351 -28.4036
255.824646 113.984 -41.9963
257.678467 113.439 -54.7095
259.545685 112.808 -66.6580
261.426483 112.161 -78.2666
263.320862 111.497 -89.9126
265.229004 110.750 -101.5815
267.150970 109.842 -112.8171
269.086853 108.731 -122.9014
271.036774 107.435 -131.0457
273.000824 106.053 -136.5852
274.979095 104.791 -139.2869
276.971710 103.968 -139.6655
278.978760 103.880 -138.4363
281.000336 104.563 -131.6865
283.036591 105.771 -74.9358
285.087585 107.187 -13.3120
287.153442 108.567 -14.7363
289.234283 109.769 -24.3916
291.330200 110.729 -36.9194
293.441284 111.454 -50.3887
295.567688 112.003 -63.7175
297.709503 112.459 -76.4263
299.866821 112.870 -88.5342
302.039795 113.232 -100.2424
304.228485 113.526 -111.5813
306.433044 113.775 -122.4360
308.653595 114.042 -132.9497
310.890228 114.359 -143.6299
313.143066 114.686 -154.9802
315.412231 114.941 -167.2002
317.697845 115.049 179.8245
320.000000 114.972 166.3633
322.318848 114.702 152.6670
324.654510 114.248 138.9009
327.007080 113.643 125.1704
329.376709 112.957 111.4304
331.763519 112.307 97.3572
334.167603 111.824 82.2344
336.589142 111.598 64.1917
339.028198 111.631 30.0627
341.484924 111.843 -109.9771
343.959473 112.122 -141.4761
346.451935 112.377 -160.3540
348.962463 112.563 -176.6138
351.491211 112.669 168.7075
354.038239 112.702 155.4456
