* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:35:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 11.6238 ms (3.987 m, 13 ft 1 in)  relative to Loopback from SPEAKER R to MICROPHONE 2 with no timing offset
* Measurement: R sedacka_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.079 162.0464
20.144928 81.433 163.6185
20.290907 81.748 165.0897
20.437943 82.030 166.4958
20.586044 82.287 167.8373
20.735220 82.526 169.0746
20.885475 82.748 170.1373
21.036821 82.949 170.9442
21.189262 83.116 171.4252
21.342808 83.231 171.5457
21.497467 83.272 171.3262
21.653246 83.214 170.8536
21.810154 83.036 170.2977
21.968201 82.721 169.9452
22.127390 82.268 170.2651
22.287735 81.707 172.0600
22.449242 81.125 176.7634
22.611917 80.699 -173.2046
22.775772 80.653 -155.4721
22.940815 81.120 -133.5614
23.107054 82.028 -116.9024
23.274498 83.167 -107.9715
23.443153 84.343 -104.0716
23.613033 85.443 -102.8540
23.784142 86.430 -102.9459
23.956491 87.313 -103.5586
24.130091 88.131 -104.2307
24.304947 88.933 -104.7239
24.481071 89.771 -104.9995
24.658470 90.682 -105.2031
24.837156 91.678 -105.6215
25.017136 92.744 -106.5886
25.198421 93.844 -108.3763
25.381020 94.938 -111.1339
25.564941 95.989 -114.8796
25.750195 96.970 -119.5396
25.936790 97.862 -124.9858
26.124741 98.652 -131.0713
26.314051 99.335 -137.6447
26.504732 99.909 -144.5609
26.696796 100.375 -151.6826
26.890253 100.737 -158.8799
27.085112 101.000 -166.0302
27.281382 101.171 -173.0178
27.479073 101.262 -179.7352
27.678198 101.285 173.9140
27.878765 101.258 168.0096
28.080786 101.201 162.6085
28.284271 101.134 157.7357
28.489231 101.080 153.3807
28.695675 101.055 149.4971
28.903616 101.069 146.0123
29.113064 101.126 142.8420
29.324028 101.221 139.9098
29.536524 101.348 137.1584
29.750557 101.499 134.5550
29.966141 101.669 132.0846
30.183289 101.859 129.7384
30.402010 102.070 127.5027
30.622314 102.303 125.3511
30.844217 102.559 123.2470
31.067726 102.835 121.1511
31.292856 103.126 119.0318
31.519617 103.427 116.8730
31.748020 103.734 114.6752
31.978081 104.044 112.4484
32.209808 104.359 110.2017
32.443211 104.683 107.9357
32.678310 105.017 105.6387
32.915108 105.363 103.2935
33.153625 105.719 100.8882
33.393871 106.084 98.4276
33.635857 106.459 95.9350
33.879597 106.853 93.4413
34.125103 107.281 90.9600
34.372387 107.763 88.4566
34.621464 108.314 85.8275
34.872345 108.939 82.9028
35.125042 109.623 79.4829
35.379574 110.336 75.3921
35.635948 111.039 70.5264
35.894180 111.692 64.8710
36.154285 112.261 58.4891
36.416275 112.718 51.5004
36.680161 113.046 44.0585
36.945961 113.230 36.3356
37.213688 113.264 28.5146
37.483353 113.144 20.7869
37.754974 112.869 13.3568
38.028561 112.441 6.4548
38.304131 111.868 0.3506
38.581699 111.167 -4.6297
38.861279 110.371 -8.0963
39.142883 109.545 -9.6196
39.426529 108.798 -8.8466
39.712231 108.287 -5.7577
40.000000 108.170 -0.9710
40.289856 108.528 4.2874
40.581814 109.319 8.7471
40.875885 110.421 11.6183
41.172089 111.709 12.5935
41.470440 113.079 11.6057
41.770950 114.447 8.6882
42.073643 115.750 3.9509
42.378525 116.935 -2.4182
42.685616 117.964 -10.1696
42.994934 118.813 -19.0206
43.306492 119.464 -28.6842
43.620308 119.907 -38.8779
43.936401 120.140 -49.3298
44.254780 120.164 -59.7757
44.575470 119.988 -69.9646
44.898483 119.625 -79.6625
45.223835 119.098 -88.6624
45.551544 118.441 -96.8022
45.881630 117.693 -103.9890
46.214108 116.899 -110.2160
46.548996 116.101 -115.5563
46.886307 115.328 -120.1216
47.226067 114.597 -124.0017
47.568283 113.912 -127.2227
47.912983 113.285 -129.7534
48.260181 112.739 -131.5593
48.609894 112.314 -132.6873
48.962143 112.059 -133.3398
49.316940 112.008 -133.8962
49.674313 112.161 -134.8362
50.034271 112.473 -136.5938
50.396843 112.875 -139.4275
50.762039 113.289 -143.3793
51.129883 113.656 -148.3192
51.500389 113.934 -154.0215
51.873581 114.106 -160.2332
52.249481 114.167 -166.7195
52.628101 114.124 -173.2832
53.009464 113.989 -179.7671
53.393593 113.774 173.9584
53.780506 113.494 168.0066
54.170223 113.170 162.4766
54.562763 112.834 157.4302
54.958145 112.528 152.8489
55.356396 112.298 148.5951
55.757530 112.179 144.4149
56.161572 112.180 140.0006
56.568542 112.279 135.0796
56.978462 112.438 129.4795
57.391350 112.614 123.1372
57.807232 112.769 116.0736
58.226128 112.876 108.3601
58.648056 112.913 100.0964
59.073048 112.867 91.3984
59.501114 112.731 82.3879
59.932281 112.508 73.1809
60.366577 112.202 63.8794
60.804020 111.823 54.5682
61.244629 111.382 45.3275
61.688435 110.888 36.2509
62.135452 110.358 27.4553
62.585712 109.827 19.0602
63.039234 109.357 11.1200
63.496040 109.036 3.5331
63.956161 108.945 -4.0027
64.419617 109.106 -11.9071
64.886421 109.470 -20.5344
65.356621 109.948 -30.0358
65.830215 110.455 -40.3492
66.307251 110.936 -51.2837
66.787743 111.359 -62.6039
67.271713 111.712 -74.0853
67.759193 111.987 -85.5345
68.250206 112.183 -96.7858
68.744774 112.299 -107.6857
69.242928 112.339 -118.0735
69.744690 112.321 -127.7765
70.250084 112.285 -136.6455
70.759148 112.298 -144.6384
71.271896 112.429 -151.9158
71.788361 112.716 -158.8491
72.308571 113.137 -165.8810
72.832550 113.627 -173.3246
73.360321 114.119 178.7242
73.891922 114.566 170.3352
74.427376 114.944 161.6461
74.966705 115.242 152.8052
75.509949 115.460 143.9537
76.057121 115.602 135.2220
76.608261 115.688 126.7067
77.163399 115.740 118.4470
77.722557 115.777 110.4208
78.285767 115.812 102.5735
78.853058 115.852 94.8444
79.424461 115.903 87.1727
80.000000 115.969 79.4863
80.579712 116.051 71.7015
81.163628 116.145 63.7383
81.751770 116.247 55.5271
82.344177 116.350 46.9969
82.940880 116.441 38.0685
83.541901 116.498 28.6748
84.147285 116.490 18.7992
84.757050 116.385 8.4984
85.371231 116.160 -2.1127
85.989868 115.804 -12.8950
86.612984 115.318 -23.7258
87.240616 114.710 -34.5203
87.872803 113.992 -45.2410
88.509560 113.177 -55.8962
89.150940 112.278 -66.5465
89.796967 111.311 -77.3184
90.447670 110.301 -88.4342
91.103088 109.293 -100.2733
91.763260 108.375 -113.5010
92.428215 107.690 -129.3003
93.097992 107.406 -149.6267
93.772614 107.607 -176.7617
94.452133 108.203 149.9089
95.136566 108.995 116.8788
95.825966 109.792 89.1644
96.520363 110.456 66.2500
97.219788 110.902 46.3912
97.924286 111.082 28.5605
98.633881 110.986 12.3978
99.348625 110.629 -2.0872
100.068542 110.062 -14.7332
100.793686 109.360 -25.3735
101.524078 108.635 -33.9706
102.259766 108.016 -40.7749
103.000778 107.620 -46.4077
103.747162 107.484 -51.6743
104.498962 107.553 -57.2084
105.256203 107.724 -63.3031
106.018929 107.895 -69.9727
106.787186 107.997 -77.0454
107.561012 108.000 -84.2524
108.340446 107.914 -91.3662
109.125526 107.772 -98.3225
109.916290 107.591 -105.1978
110.712791 107.366 -112.0571
111.515060 107.071 -118.8188
112.323143 106.686 -125.2295
113.137085 106.211 -130.9185
113.956924 105.682 -135.4888
114.782700 105.176 -138.6184
115.614464 104.808 -140.2119
116.452255 104.710 -140.6091
117.296112 104.964 -140.7083
118.146095 105.545 -141.7183
119.002228 106.331 -144.6208
119.864563 107.164 -149.8301
120.733154 107.908 -157.2349
121.608040 108.466 -166.4031
122.489258 108.779 -176.7485
123.376869 108.818 172.3623
124.270905 108.581 161.5493
125.171425 108.091 151.3823
126.078468 107.390 142.3267
126.992081 106.550 134.6260
127.912323 105.658 128.1875
128.839233 104.787 122.6753
129.772842 103.979 117.8325
130.713242 103.258 113.6797
131.660431 102.665 110.3250
132.614502 102.270 107.6199
133.575485 102.139 105.0144
134.543427 102.281 101.7561
135.518387 102.640 97.2122
136.500412 103.123 91.0549
137.489548 103.644 83.2476
138.485855 104.147 73.9185
139.489380 104.603 63.2227
140.500168 104.997 51.2583
141.518295 105.321 38.0627
142.543793 105.563 23.6609
143.576721 105.720 8.1062
144.617142 105.804 -8.5269
145.665100 105.839 -26.1577
146.720642 105.856 -44.7095
147.783844 105.874 -64.0869
148.854752 105.889 -84.1255
149.933411 105.863 -104.5071
151.019897 105.747 -124.7129
152.114243 105.510 -144.0730
153.216522 105.167 -161.9270
154.326797 104.798 -177.8015
155.445114 104.539 168.4480
156.571533 104.548 156.5544
157.706116 104.919 145.8870
158.848923 105.619 135.6582
160.000000 106.518 125.1516
161.159424 107.463 113.8772
162.327255 108.333 101.6531
163.503540 109.053 88.6216
164.688354 109.610 75.1494
165.881760 110.043 61.6260
167.083801 110.424 48.2478
168.294571 110.813 34.9075
169.514099 111.219 21.2859
170.742462 111.595 7.0708
171.979736 111.876 -7.8608
173.225967 112.006 -23.4319
174.481232 111.951 -39.4426
175.745605 111.689 -55.6160
177.019119 111.203 -71.5500
178.301880 110.489 -86.5913
179.593933 109.565 -99.5833
180.895340 108.489 -108.2925
182.206177 107.379 -108.6016
183.526520 106.407 -97.7400
184.856430 105.725 -86.6704
186.195984 105.360 -86.1936
187.545227 105.182 -93.1162
188.904266 105.028 -103.1387
190.273132 104.802 -113.8494
191.651932 104.512 -123.9089
193.040726 104.269 -132.6616
194.439575 104.232 -140.1145
195.848572 104.527 -147.0137
197.267761 105.151 -154.5901
198.697250 105.975 -163.8916
200.137085 106.843 -175.3257
201.587372 107.641 171.2314
203.048157 108.298 156.1094
204.519531 108.773 139.6338
206.001556 109.031 122.1094
207.494324 109.047 103.8806
208.997925 108.820 85.3391
210.512405 108.391 66.8240
212.037857 107.845 48.4204
213.574371 107.294 29.8022
215.122025 106.813 10.3545
216.680893 106.396 -10.4365
218.251053 105.968 -32.7520
219.832581 105.446 -56.4944
221.425583 104.787 -81.4592
223.030121 104.003 -107.4531
224.646286 103.168 -134.3159
226.274170 102.418 -161.9680
227.913849 101.932 169.1890
229.565399 101.836 131.5869
231.228928 102.087 -43.2061
232.904510 102.484 -81.0950
234.592224 102.826 -109.6670
236.292191 103.028 -135.7080
238.004456 103.142 -158.7415
239.729126 103.328 -177.6479
241.466309 103.744 168.5908
243.216080 104.421 159.4045
244.978516 105.246 150.6870
246.753738 106.049 137.9580
248.541809 106.681 120.7126
250.342850 107.060 100.7043
252.156937 107.185 79.7114
253.984161 107.150 58.8667
255.824646 107.105 38.4578
257.678467 107.169 18.0110
259.545685 107.345 -3.3071
261.426483 107.541 -26.1555
263.320862 107.667 -50.8550
265.229004 107.692 -77.7959
267.150970 107.635 -108.1951
269.086853 107.518 -145.6372
271.036774 107.340 161.6482
273.000824 107.087 95.7932
274.979095 106.754 45.5139
276.971710 106.359 10.2798
278.978760 105.949 -18.0283
281.000336 105.599 -42.7852
283.036591 105.367 -65.6514
285.087585 105.237 -87.7119
287.153442 105.117 -109.5635
289.234283 104.915 -131.2935
291.330200 104.589 -152.6440
293.441284 104.151 -173.0693
295.567688 103.659 168.7812
297.709503 103.224 157.2158
299.866821 103.011 168.1372
302.039795 103.150 -153.7495
304.228485 103.607 -151.7109
306.433044 104.211 -166.8374
308.653595 104.784 172.8047
310.890228 105.211 150.2402
313.143066 105.427 126.6133
315.412231 105.408 102.5898
317.697845 105.176 78.7588
320.000000 104.813 55.7866
322.318848 104.447 34.6499
324.654510 104.200 17.6104
327.007080 104.133 10.5078
329.376709 104.234 19.3926
331.763519 104.440 27.4609
334.167603 104.660 33.3237
336.589142 104.797 107.3730
339.028198 104.796 114.3252
341.484924 104.674 94.2920
343.959473 104.509 70.5981
346.451935 104.392 46.0518
348.962463 104.369 21.3242
351.491211 104.429 -3.3081
354.038239 104.532 -27.4517
356.603760 104.645 -50.1445
