* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, MICROPHONE, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS using a loopback as a timing reference
* Dated: May 16, 2026 9:36:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 6.4464 ms (2.211 m, 7 ft 3.1 in)  relative to Loopback from SPEAKER R to MICROPHONE 2 with no timing offset
* Measurement: R uTV_doma_loopback May 16
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.079 -16.2479
20.144928 83.683 -17.9343
20.290907 83.126 -19.4174
20.437943 82.423 -20.1105
20.586044 81.638 -18.8795
20.735220 80.928 -13.4099
20.885475 80.551 0.4140
21.036821 80.741 23.6282
21.189262 81.509 43.3347
21.342808 82.641 51.2575
21.497467 83.887 51.0563
21.653246 85.082 46.2148
21.810154 86.149 38.4251
21.968201 87.072 28.4826
22.127390 87.857 16.7968
22.287735 88.518 3.6593
22.449242 89.072 -10.6287
22.611917 89.526 -25.6810
22.775772 89.885 -41.0169
22.940815 90.146 -56.1340
23.107054 90.301 -70.5632
23.274498 90.343 -83.9199
23.443153 90.274 -95.8262
23.613033 90.124 -105.7668
23.784142 89.974 -112.7463
23.956491 89.987 -114.5233
24.130091 90.375 -106.4166
24.304947 91.264 -85.3254
24.481071 92.581 -65.9883
24.658470 94.119 -59.5661
24.837156 95.686 -61.1477
25.017136 97.158 -66.5095
25.198421 98.477 -73.7332
25.381020 99.619 -81.9344
25.564941 100.581 -90.6594
25.750195 101.366 -99.6467
25.936790 101.980 -108.7295
26.124741 102.429 -117.7842
26.314051 102.719 -126.7108
26.504732 102.857 -135.4155
26.696796 102.850 -143.8086
26.890253 102.705 -151.7954
27.085112 102.433 -159.2805
27.281382 102.048 -166.1669
27.479073 101.568 -172.3678
27.678198 101.018 -177.8169
27.878765 100.430 177.5115
28.080786 99.835 173.5869
28.284271 99.267 170.3128
28.489231 98.746 167.5438
28.695675 98.278 165.1193
28.903616 97.853 162.9131
29.113064 97.451 160.8687
29.324028 97.050 159.0096
29.536524 96.636 157.4216
29.750557 96.209 156.2169
29.966141 95.781 155.4874
30.183289 95.376 155.2599
30.402010 95.016 155.4712
30.622314 94.720 155.9768
30.844217 94.488 156.6019
31.067726 94.305 157.2094
31.292856 94.146 157.7509
31.519617 93.988 158.2765
31.748020 93.817 158.9113
31.978081 93.633 159.8124
32.209808 93.447 161.1221
32.443211 93.283 162.9254
32.678310 93.165 165.2210
32.915108 93.117 167.9176
33.153625 93.154 170.8665
33.393871 93.279 173.9249
33.635857 93.492 177.0229
33.879597 93.796 -179.8024
34.125103 94.210 -176.4293
34.372387 94.768 -172.7444
34.621464 95.511 -168.7927
34.872345 96.458 -164.9173
35.125042 97.589 -161.7377
35.379574 98.840 -159.9091
35.635948 100.132 -159.8401
35.894180 101.390 -161.5982
36.154285 102.556 -165.0055
36.416275 103.594 -169.7704
36.680161 104.481 -175.5792
36.945961 105.206 177.8616
37.213688 105.762 170.8141
37.483353 106.150 163.5113
37.754974 106.371 156.1655
38.028561 106.428 148.9792
38.304131 106.329 142.1528
38.581699 106.082 135.8895
38.861279 105.704 130.3995
39.142883 105.216 125.9014
39.426529 104.655 122.6119
39.712231 104.073 120.7312
40.000000 103.541 120.4250
40.289856 103.155 121.8099
40.581814 103.027 124.9284
40.875885 103.262 129.6460
41.172089 103.918 135.4061
41.470440 104.957 141.0426
41.770950 106.258 145.1140
42.073643 107.668 146.6331
42.378525 109.055 145.3988
42.685616 110.329 141.7526
42.994934 111.437 136.2255
43.306492 112.347 129.3415
43.620308 113.047 121.5591
43.936401 113.533 113.2694
44.254780 113.811 104.8108
44.575470 113.893 96.4768
44.898483 113.799 88.5201
45.223835 113.558 81.1460
45.551544 113.206 74.4982
45.881630 112.788 68.6406
46.214108 112.347 63.5458
46.548996 111.919 59.1067
46.886307 111.523 55.1742
47.226067 111.168 51.6016
47.568283 110.848 48.2697
47.912983 110.559 45.0817
48.260181 110.292 41.9480
48.609894 110.035 38.7878
48.962143 109.764 35.5590
49.316940 109.448 32.3066
49.674313 109.055 29.2048
50.034271 108.561 26.5797
50.396843 107.967 24.9102
50.762039 107.308 24.7937
51.129883 106.673 26.8142
51.500389 106.201 31.1954
51.873581 106.036 37.2835
52.249481 106.245 43.4727
52.628101 106.765 48.1185
53.009464 107.453 50.4849
53.393593 108.170 50.7094
53.780506 108.820 49.3143
54.170223 109.351 46.8880
54.562763 109.746 43.9750
54.958145 110.016 41.0490
55.356396 110.197 38.4904
55.757530 110.345 36.5448
56.161572 110.524 35.2701
56.568542 110.787 34.5101
56.978462 111.161 33.9445
57.391350 111.638 33.2122
57.807232 112.186 32.0393
58.226128 112.770 30.2975
58.648056 113.359 27.9867
59.073048 113.935 25.1810
59.501114 114.490 21.9747
59.932281 115.026 18.4421
60.366577 115.546 14.6160
60.804020 116.049 10.4854
61.244629 116.529 6.0173
61.688435 116.968 1.1868
62.135452 117.347 -3.9915
62.585712 117.645 -9.4467
63.039234 117.846 -15.0496
63.496040 117.944 -20.6265
63.956161 117.944 -25.9819
64.419617 117.865 -30.9302
64.886421 117.739 -35.3346
65.356621 117.605 -39.1425
65.830215 117.507 -42.4061
66.307251 117.476 -45.2731
66.787743 117.528 -47.9467
67.271713 117.663 -50.6356
67.759193 117.866 -53.5126
68.250206 118.113 -56.6901
68.744774 118.382 -60.2126
69.242928 118.653 -64.0645
69.744690 118.918 -68.1934
70.250084 119.176 -72.5463
70.759148 119.435 -77.1010
71.271896 119.701 -81.8817
71.788361 119.978 -86.9518
72.308571 120.258 -92.3931
72.832550 120.526 -98.2783
73.360321 120.761 -104.6513
73.891922 120.937 -111.5104
74.427376 121.028 -118.8026
74.966705 121.011 -126.4265
75.509949 120.869 -134.2420
76.057121 120.589 -142.0817
76.608261 120.166 -149.7606
77.163399 119.599 -157.0843
77.722557 118.898 -163.8630
78.285767 118.076 -169.9283
78.853058 117.156 -175.1473
79.424461 116.160 -179.4177
80.000000 115.116 177.3495
80.579712 114.052 175.2328
81.163628 113.004 174.2634
81.751770 112.019 174.3584
82.344177 111.142 175.2697
82.940880 110.411 176.5912
83.541901 109.834 177.8607
84.147285 109.380 178.7513
84.757050 108.992 179.2629
85.371231 108.620 179.7963
85.989868 108.256 -178.8992
86.612984 107.965 -175.8860
87.240616 107.883 -170.4503
87.872803 108.153 -162.9677
88.509560 108.820 -155.4799
89.150940 109.777 -150.4116
89.796967 110.853 -148.7573
90.447670 111.899 -150.1563
91.103088 112.827 -153.8135
91.763260 113.592 -158.9862
92.428215 114.183 -165.0878
93.097992 114.602 -171.6657
93.772614 114.872 -178.3680
94.452133 115.029 175.0634
95.136566 115.123 168.7614
95.825966 115.209 162.6768
96.520363 115.321 156.5685
97.219788 115.451 150.1064
97.924286 115.553 143.0455
98.633881 115.565 135.3447
99.348625 115.441 127.1476
100.068542 115.168 118.6821
100.793686 114.768 110.1732
101.524078 114.296 101.8461
102.259766 113.837 94.1060
103.000778 113.511 88.1650
103.747162 113.450 88.7896
104.498962 113.739 117.5372
105.256203 114.340 170.3146
106.018929 115.103 177.4646
106.787186 115.854 171.1578
107.561012 116.467 161.2790
108.340446 116.880 150.3115
109.125526 117.081 139.2718
109.916290 117.099 128.6730
110.712791 116.983 118.7437
111.515060 116.783 109.5092
112.323143 116.537 100.8632
113.137085 116.254 92.6617
113.956924 115.920 84.8217
114.782700 115.505 77.3921
115.614464 114.983 70.5770
116.452255 114.348 64.7034
117.296112 113.626 60.1213
118.146095 112.882 57.0358
119.002228 112.209 55.3145
119.864563 111.701 54.4365
120.733154 111.408 53.7169
121.608040 111.331 52.6328
122.489258 111.439 50.9139
123.376869 111.694 48.3859
124.270905 112.046 44.8356
125.171425 112.426 40.0594
126.078468 112.750 34.0054
126.992081 112.939 26.8399
127.912323 112.931 18.9180
128.839233 112.683 10.7421
129.772842 112.174 2.9488
130.713242 111.407 -3.6741
131.660431 110.420 -8.1535
132.614502 109.298 -9.3483
133.575485 108.202 -6.3100
134.543427 107.355 0.5190
135.518387 106.965 8.2275
136.500412 107.067 13.4213
137.489548 107.506 14.9819
138.485855 108.075 13.5435
139.489380 108.626 10.0772
140.500168 109.082 5.3783
141.518295 109.413 0.0529
142.543793 109.621 -5.3885
143.576721 109.738 -10.4637
144.617142 109.836 -14.7208
145.665100 110.026 -17.8434
146.720642 110.434 -19.8923
147.783844 111.131 -21.5533
148.854752 112.079 -23.9958
149.933411 113.151 -28.2505
151.019897 114.206 -34.7433
152.114243 115.130 -43.3669
153.216522 115.839 -53.7417
154.326797 116.278 -65.3521
155.445114 116.418 -77.5931
156.571533 116.264 -89.8515
157.706116 115.854 -101.6243
158.848923 115.251 -112.6063
160.000000 114.529 -122.7099
161.159424 113.766 -132.0239
162.327255 113.032 -140.7585
163.503540 112.385 -149.2045
164.688354 111.863 -157.7004
165.881760 111.480 -166.5864
167.083801 111.223 -176.1707
168.294571 111.061 173.3018
169.514099 110.950 161.6753
170.742462 110.856 148.8628
171.979736 110.754 134.7806
173.225967 110.639 119.2690
174.481232 110.529 101.9562
175.745605 110.471 81.7375
177.019119 110.525 54.0237
178.301880 110.745 -6.6538
179.593933 111.150 -97.5118
180.895340 111.719 -133.0233
182.206177 112.410 -156.7007
183.526520 113.164 -177.2616
184.856430 113.908 163.3795
186.195984 114.560 144.5189
187.545227 115.047 125.9039
188.904266 115.318 107.5643
190.273132 115.351 89.7052
191.651932 115.155 72.5934
193.040726 114.755 56.4788
194.439575 114.194 41.5601
195.848572 113.518 27.9814
197.267761 112.787 15.8357
198.697250 112.068 5.1775
200.137085 111.447 -3.9493
201.587372 111.028 -11.5764
203.048157 110.919 -18.0594
204.519531 111.156 -24.2516
206.001556 111.655 -31.1992
207.494324 112.258 -39.5496
208.997925 112.824 -49.3257
210.512405 113.269 -60.1764
212.037857 113.562 -71.6671
213.574371 113.704 -83.4056
215.122025 113.718 -95.1082
216.680893 113.640 -106.6426
218.251053 113.490 -117.9838
219.832581 113.275 -129.1234
221.425583 112.998 -140.0048
223.030121 112.669 -150.5371
224.646286 112.322 -160.6993
226.274170 111.998 -170.6147
227.913849 111.725 179.4680
229.565399 111.493 169.2725
231.228928 111.256 158.6587
232.904510 110.957 147.7285
234.592224 110.555 136.7827
236.292191 110.035 126.2535
238.004456 109.422 116.6613
239.729126 108.818 108.3240
241.466309 108.384 100.8365
243.216080 108.250 92.9335
244.978516 108.401 83.0886
246.753738 108.694 70.4059
248.541809 108.968 54.8115
250.342850 109.108 36.6229
252.156937 109.046 16.2581
253.984161 108.753 -5.7719
255.824646 108.229 -28.7352
257.678467 107.521 -51.5732
259.545685 106.738 -73.0972
261.426483 106.063 -92.6226
263.320862 105.698 -110.3113
265.229004 105.766 -126.6914
267.150970 106.229 -142.2812
269.086853 106.924 -157.6631
271.036774 107.656 -173.3101
273.000824 108.273 170.6743
274.979095 108.682 154.5188
276.971710 108.837 138.6504
278.978760 108.727 123.6260
281.000336 108.383 110.0393
283.036591 107.884 98.2805
285.087585 107.342 88.1748
287.153442 106.845 79.0210
289.234283 106.406 70.3174
291.330200 105.983 62.3645
293.441284 105.562 55.9729
295.567688 105.190 51.5154
297.709503 104.929 48.5352
299.866821 104.802 46.7686
302.039795 104.816 46.6616
304.228485 104.986 47.5073
306.433044 105.298 46.4792
308.653595 105.678 41.6978
310.890228 106.016 33.7319
313.143066 106.216 24.0725
315.412231 106.232 14.3247
317.697845 106.097 6.2166
320.000000 105.937 1.4907
322.318848 105.932 1.0261
324.654510 106.238 3.2053
327.007080 106.896 4.7180
329.376709 107.837 3.7019
331.763519 108.926 -0.3582
334.167603 109.998 -7.6604
336.589142 110.908 -17.8838
339.028198 111.555 -30.1440
341.484924 111.897 -43.3044
343.959473 111.944 -56.2288
346.451935 111.775 -67.9875
348.962463 111.538 -78.1863
351.491211 111.411 -87.2168
354.038239 111.513 -96.0286
356.603760 111.851 -105.5024
359.187866 112.363 -115.9602
