* Measurement data measured by REW V5.31.3
* Source: Scarlett 2i2 4th Gen, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -12.2 dBFS with no timing reference
* Dated: Apr 30, 2026 7:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 80.2 dB
* Note: ; 2xJBL_EON715, 2xPRX800,, basy 3h, vysky0
* Measurement: L+R industra_mejdan Apr 30
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 49.381 1640.4762
20.144928 49.336 1637.5461
20.290907 49.341 1635.9175
20.437943 49.486 1635.6136
20.586044 49.860 1636.4227
20.735220 50.505 1637.8351
20.885475 51.401 1639.1428
21.036821 52.471 1639.6991
21.189262 53.626 1639.1205
21.342808 54.791 1637.3116
21.497467 55.915 1634.3743
21.653246 56.969 1630.4880
21.810154 57.939 1625.8469
21.968201 58.817 1620.6252
22.127390 59.605 1614.9692
22.287735 60.304 1608.9989
22.449242 60.917 1602.8113
22.611917 61.449 1596.4854
22.775772 61.904 1590.0847
22.940815 62.287 1583.6613
23.107054 62.602 1577.2576
23.274498 62.854 1570.9065
23.443153 63.046 1564.6356
23.613033 63.181 1558.4644
23.784142 63.261 1552.4093
23.956491 63.287 1546.4838
24.130091 63.257 1540.7025
24.304947 63.169 1535.0872
24.481071 63.016 1529.6693
24.658470 62.793 1524.5032
24.837156 62.491 1519.6711
25.017136 62.102 1515.2991
25.198421 61.623 1511.5702
25.381020 61.058 1508.7413
25.564941 60.431 1507.1470
25.750195 59.796 1507.1686
25.936790 59.250 1509.0977
26.124741 58.926 1512.8514
26.314051 58.939 1517.6653
26.504732 59.307 1522.2198
26.696796 59.937 1525.3457
26.890253 60.684 1526.5643
27.085112 61.423 1526.0160
27.281382 62.075 1524.1115
27.479073 62.601 1521.3047
27.678198 62.988 1517.9983
27.878765 63.237 1514.5304
28.080786 63.366 1511.1740
28.284271 63.397 1508.1411
28.489231 63.363 1505.5742
28.695675 63.298 1503.5381
28.903616 63.234 1502.0189
29.113064 63.193 1500.9478
29.324028 63.183 1500.2330
29.536524 63.198 1499.8134
29.750557 63.228 1499.7031
29.966141 63.270 1500.0065
30.183289 63.342 1500.8877
30.402010 63.482 1502.4901
30.622314 63.747 1504.8267
30.844217 64.185 1507.6748
31.067726 64.812 1510.5767
31.292856 65.600 1512.9867
31.519617 66.489 1514.4871
31.748020 67.413 1514.8997
31.978081 68.319 1514.2623
32.209808 69.169 1512.7406
32.443211 69.939 1510.5541
32.678310 70.618 1507.9407
32.915108 71.205 1505.1506
33.153625 71.710 1502.4484
33.393871 72.161 1500.1102
33.635857 72.608 1498.3927
33.879597 73.121 1497.4602
34.125103 73.776 1497.2590
34.372387 74.613 1497.4189
34.621464 75.615 1497.3214
34.872345 76.708 1496.3385
35.125042 77.800 1494.1156
35.379574 78.809 1490.6422
35.635948 79.681 1486.1719
35.894180 80.394 1481.1014
36.154285 80.951 1475.8877
36.416275 81.396 1470.9980
36.680161 81.810 1466.8433
36.945961 82.311 1463.6650
37.213688 83.014 1461.3599
37.483353 83.963 1459.3651
37.754974 85.103 1456.8278
38.028561 86.314 1453.0107
38.304131 87.478 1447.5874
38.581699 88.510 1440.6281
38.861279 89.360 1432.4186
39.142883 90.002 1423.3143
39.426529 90.420 1413.6713
39.712231 90.610 1403.8297
40.000000 90.568 1394.1265
40.289856 90.298 1384.9281
40.581814 89.810 1376.6598
40.875885 89.132 1369.8236
41.172089 88.330 1364.9618
41.470440 87.525 1362.4869
41.770950 86.903 1362.2727
42.073643 86.640 1363.2552
42.378525 86.778 1363.7714
